episode,steps,states,dx_m,dy_m,dyaw_rad,success,ever_success,max_contact_force_N,contact_frames,receptacle_max_position_drift_m
episode_0,159,160,-0.02,0.0,0.0,True,True,0.07180228895391397,4,3.725290298461914e-09
episode_1,157,158,-0.01,0.0,0.0,True,True,0.1327330996875252,5,0.0
episode_2,156,157,0.0,0.0,0.0,True,True,0.19303626641882168,6,0.0
episode_3,155,156,0.01,0.0,0.0,False,False,34.269261884987664,9,0.0
episode_4,155,156,0.02,0.0,0.0,True,True,23.894724659692713,10,0.0
episode_5,164,165,0.0,-0.02,0.0,True,True,2.100271224975586,3,0.0
episode_6,158,159,0.0,-0.01,0.0,True,True,0.12130459256241206,6,0.0
episode_7,156,157,0.0,0.01,0.0,False,False,36.296664546089616,9,0.0
episode_8,159,160,0.0,0.02,0.0,False,False,33.25404070275131,10,0.0
episode_9,151,152,0.0,0.0,-0.2617993877991494,True,True,27.052378046898614,8,0.0
episode_10,149,150,0.0,0.0,-0.1308996938995747,True,True,0.04744650796055794,1,3.725290298461914e-09
episode_11,169,170,0.0,0.0,0.1308996938995747,True,True,0.0,0,0.0
episode_12,172,173,0.0,0.0,0.2617993877991494,True,True,0.0,0,0.0
