domain,condition,dataset,episode,seed,source,radius_mm,status,grip_frame,apex_frame,near_target_frame,terminal_frame,grip_to_apex_s,apex_to_near_s,near_to_terminal_s,lift_height_m,terminal_x_m,terminal_y_m,terminal_z_m,near_frame_solver_phase,apex_frame_solver_phase
real,upright,insert_jc_fix_3,0,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_000.npz,20.0,ok,195,270,356,505,2.5,2.8666666666666667,4.966666666666667,0.07496247624933422,0.519968425826775,0.11910582108800609,0.14048993710737698,,
real,upright,insert_jc_fix_3,1,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_001.npz,20.0,ok,184,261,350,453,2.566666666666667,2.966666666666667,3.433333333333333,0.06418623984406571,0.5187463112148465,0.11479212477733529,0.13976015806268074,,
real,upright,insert_jc_fix_3,2,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_002.npz,20.0,ok,192,310,444,512,3.933333333333333,4.466666666666667,2.2666666666666666,0.0921314708042621,0.5136907659087702,0.11316259912528641,0.1383373966912011,,
real,upright,insert_jc_fix_3,3,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_003.npz,20.0,ok,219,295,406,522,2.533333333333333,3.7,3.8666666666666667,0.07538137506541406,0.5145492765683286,0.11095987523321273,0.13773207697786247,,
real,upright,insert_jc_fix_3,4,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_004.npz,20.0,ok,209,289,335,434,2.6666666666666665,1.5333333333333334,3.3,0.08410580598796966,0.5166415043138483,0.10967487950958946,0.1390915105919873,,
real,upright,insert_jc_fix_3,5,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_005.npz,20.0,ok,200,295,386,490,3.1666666666666665,3.033333333333333,3.466666666666667,0.07154230637460046,0.5168289225198266,0.11485768044817876,0.14249969565971735,,
real,upright,insert_jc_fix_3,6,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_006.npz,20.0,ok,176,256,314,432,2.6666666666666665,1.9333333333333333,3.933333333333333,0.09060710667412519,0.5137858072650605,0.11632609011828375,0.13819842717065153,,
real,upright,insert_jc_fix_3,7,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_007.npz,20.0,ok,154,270,403,483,3.8666666666666667,4.433333333333334,2.6666666666666665,0.08913966245272956,0.5138923852406053,0.1227234012366309,0.13825521460870596,,
real,upright,insert_jc_fix_3,8,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_008.npz,20.0,ok,235,345,471,536,3.6666666666666665,4.2,2.1666666666666665,0.08282084850794152,0.5138193669146306,0.12092221797335358,0.14005601876534665,,
real,upright,insert_jc_fix_3,9,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_009.npz,20.0,ok,256,337,397,483,2.7,2.0,2.8666666666666667,0.0741924159134372,0.5229784603388704,0.1167203719223799,0.1399761545233336,,
