domain,condition,seed,progress,response_deg,ci_low,ci_high,n_upright,n_tilt,radius_mm
real,tilted,-1,0.0,3.3162398368552592,2.7790198716424146,3.900341413737645,50,61,20.0
real,tilted,-1,1.0,7.221502902766547,6.064507520963358,8.345752995333074,50,61,20.0
real,tilted,-1,2.0,10.208061376231521,9.443838475134156,11.004317200354715,50,61,20.0
real,tilted,-1,3.0,10.337355082279187,9.653398667815738,11.055080760175017,50,61,20.0
sim,pitch_minus,20260910,0.0,0.03019800098686851,,,1,1,20.0
sim,pitch_minus,20260910,1.0,0.10664482003509253,,,1,1,20.0
sim,pitch_minus,20260910,2.0,10.944564683529343,,,1,1,20.0
sim,pitch_minus,20260910,3.0,10.6794380747618,,,1,1,20.0
sim,pitch_minus,20270910,0.0,0.027256769309985912,,,1,1,20.0
sim,pitch_minus,20270910,1.0,0.0720247442777424,,,1,1,20.0
sim,pitch_minus,20270910,2.0,9.519720070599734,,,1,1,20.0
sim,pitch_minus,20270910,3.0,9.52489378741301,,,1,1,20.0
sim,pitch_minus,20280910,0.0,0.049196887427089636,,,1,1,20.0
sim,pitch_minus,20280910,1.0,0.13428937300691704,,,1,1,20.0
sim,pitch_minus,20280910,2.0,9.493550727514599,,,1,1,20.0
sim,pitch_minus,20280910,3.0,9.702553409631003,,,1,1,20.0
sim,pitch_minus,-1,0.0,0.01915289970758363,,,3,3,20.0
sim,pitch_minus,-1,1.0,0.030904525343545146,,,3,3,20.0
sim,pitch_minus,-1,2.0,9.907605917475777,,,3,3,20.0
sim,pitch_minus,-1,3.0,9.899344890960032,,,3,3,20.0
sim,pitch_plus,20260910,0.0,0.035772527280862075,,,1,1,20.0
sim,pitch_plus,20260910,1.0,0.11940636663246124,,,1,1,20.0
sim,pitch_plus,20260910,2.0,8.55083464679535,,,1,1,20.0
sim,pitch_plus,20260910,3.0,8.566328435534503,,,1,1,20.0
sim,pitch_plus,20270910,0.0,0.03174378854340239,,,1,1,20.0
sim,pitch_plus,20270910,1.0,0.048099894070874755,,,1,1,20.0
sim,pitch_plus,20270910,2.0,10.139205036786901,,,1,1,20.0
sim,pitch_plus,20270910,3.0,9.950676379988039,,,1,1,20.0
sim,pitch_plus,20280910,0.0,0.04718286194503941,,,1,1,20.0
sim,pitch_plus,20280910,1.0,0.13571177033292595,,,1,1,20.0
sim,pitch_plus,20280910,2.0,10.173055205266369,,,1,1,20.0
