domain,condition,seed,progress,response_deg,ci_low,ci_high,n_upright,n_tilt,radius_mm
real,tilted,-1,0.0,3.3162398368552592,2.7790198716424146,3.900341413737645,50,61,20.0
real,tilted,-1,0.02,3.3023379235820203,2.761912619063811,3.885081176519494,50,61,20.0
real,tilted,-1,0.04,3.290022043143868,2.7479966940341294,3.8755979190173973,50,61,20.0
real,tilted,-1,0.06,3.2783470026804427,2.7405267107697133,3.865435735198097,50,61,20.0
real,tilted,-1,0.08,3.2623648626938127,2.724969797320161,3.848581196707858,50,61,20.0
real,tilted,-1,0.1,3.250659998027215,2.712997985108117,3.844363153217329,50,61,20.0
real,tilted,-1,0.12,3.247315703873105,2.706876503186665,3.842974186590487,50,61,20.0
real,tilted,-1,0.14,3.242071373452488,2.7058767996450435,3.837337787089725,50,61,20.0
real,tilted,-1,0.16,3.2356244930505507,2.7062902085659877,3.8233789037724764,50,61,20.0
real,tilted,-1,0.18,3.2217344065781024,2.694625102715829,3.7995105489354892,50,61,20.0
real,tilted,-1,0.2,3.1943130296880202,2.675798563216402,3.7580126840996435,50,61,20.0
real,tilted,-1,0.22,3.163654742247155,2.641781107063865,3.732319934151703,50,61,20.0
real,tilted,-1,0.24,3.123821011460767,2.6023916511820704,3.692090305320143,50,61,20.0
real,tilted,-1,0.26,3.0781102969585366,2.5554782301771404,3.6517703226716502,50,61,20.0
real,tilted,-1,0.28,3.0178071212098394,2.5005062245123417,3.593902338432538,50,61,20.0
real,tilted,-1,0.3,2.921765584812212,2.3990995439075067,3.501627254295726,50,61,20.0
real,tilted,-1,0.32,2.792572338158117,2.262946791419378,3.3799736989100104,50,61,20.0
real,tilted,-1,0.34,2.620692140108509,2.075480783316557,3.2123031044091013,50,61,20.0
real,tilted,-1,0.36,2.4437766263260525,1.8944859482023635,3.0309080125617474,50,61,20.0
real,tilted,-1,0.38,2.2749570615495274,1.7191990415511313,2.8816468340335355,50,61,20.0
real,tilted,-1,0.4,2.1265614935892767,1.5579586079015033,2.741130158401833,50,61,20.0
real,tilted,-1,0.42,1.8957361631818876,1.3359766709758294,2.5289521145545293,50,61,20.0
real,tilted,-1,0.44,1.6659634429227148,1.0942699552021526,2.319457082440438,50,61,20.0
real,tilted,-1,0.46,1.4469878463353996,0.8592488550745815,2.1317040070125874,50,61,20.0
real,tilted,-1,0.48,1.26773428811606,0.6746953212495373,1.9803508943179144,50,61,20.0
real,tilted,-1,0.5,1.0138007116691632,0.4202317720723496,1.754323259148447,50,61,20.0
real,tilted,-1,0.52,0.7327653691203736,0.21677549390738504,1.5339215266897244,50,61,20.0
