dataset,episode,event,frame,video,video_time_s,span_delta_s,image
insert_jc_fix_3,0,apex,270,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_jc_fix_3/videos/observation.images.head/chunk-000/file-000.mp4,8.999999999999998,0.0,real_relation_consistency/event_alignment/video_checks/insert_jc_fix_3_000_apex.png
insert_jc_fix_3,0,near_target,320,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_jc_fix_3/videos/observation.images.head/chunk-000/file-000.mp4,10.666666666666666,0.0,real_relation_consistency/event_alignment/video_checks/insert_jc_fix_3_000_near_target.png
insert_jc_fix_3,10,apex,277,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_jc_fix_3/videos/observation.images.head/chunk-000/file-000.mp4,220.73333333333332,7.105427357601002e-15,real_relation_consistency/event_alignment/video_checks/insert_jc_fix_3_010_apex.png
insert_jc_fix_3,10,near_target,314,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_jc_fix_3/videos/observation.images.head/chunk-000/file-000.mp4,221.9666666666667,7.105427357601002e-15,real_relation_consistency/event_alignment/video_checks/insert_jc_fix_3_010_near_target.png
insert_jc_fix_3,20,apex,254,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_jc_fix_3/videos/observation.images.head/chunk-000/file-000.mp4,410.8999999999999,1.0658141036401504e-14,real_relation_consistency/event_alignment/video_checks/insert_jc_fix_3_020_apex.png
insert_jc_fix_3,20,near_target,294,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_jc_fix_3/videos/observation.images.head/chunk-000/file-000.mp4,412.23333333333335,1.0658141036401504e-14,real_relation_consistency/event_alignment/video_checks/insert_jc_fix_3_020_near_target.png
insert_jc_fix_3,49,apex,249,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_jc_fix_3/videos/observation.images.head/chunk-000/file-001.mp4,82.66666666666667,3.552713678800501e-15,real_relation_consistency/event_alignment/video_checks/insert_jc_fix_3_049_apex.png
insert_jc_fix_3,49,near_target,360,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_jc_fix_3/videos/observation.images.head/chunk-000/file-001.mp4,86.36666666666667,3.552713678800501e-15,real_relation_consistency/event_alignment/video_checks/insert_jc_fix_3_049_near_target.png
insert_10degree,0,apex,449,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_10degree/videos/observation.images.head/chunk-000/file-000.mp4,14.966666666666669,0.0,real_relation_consistency/event_alignment/video_checks/insert_10degree_000_apex.png
insert_10degree,0,near_target,699,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_10degree/videos/observation.images.head/chunk-000/file-000.mp4,23.3,0.0,real_relation_consistency/event_alignment/video_checks/insert_10degree_000_near_target.png
insert_10degree,12,apex,514,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_10degree/videos/observation.images.head/chunk-000/file-001.mp4,127.83333333333331,-7.105427357601002e-15,real_relation_consistency/event_alignment/video_checks/insert_10degree_012_apex.png
insert_10degree,12,near_target,637,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_10degree/videos/observation.images.head/chunk-000/file-001.mp4,131.93333333333334,-7.105427357601002e-15,real_relation_consistency/event_alignment/video_checks/insert_10degree_012_near_target.png
insert_10degree,31,apex,482,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_10degree/videos/observation.images.head/chunk-000/file-003.mp4,310.7,1.4210854715202004e-14,real_relation_consistency/event_alignment/video_checks/insert_10degree_031_apex.png
insert_10degree,31,near_target,683,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_10degree/videos/observation.images.head/chunk-000/file-003.mp4,317.4,1.4210854715202004e-14,real_relation_consistency/event_alignment/video_checks/insert_10degree_031_near_target.png
insert_10degree,60,apex,438,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_10degree/videos/observation.images.head/chunk-000/file-006.mp4,52.300000000000004,7.105427357601002e-15,real_relation_consistency/event_alignment/video_checks/insert_10degree_060_apex.png
insert_10degree,60,near_target,604,/home/rocos/sia/Sim/robomimic/dataset/data/SunJincheng/insert_10degree/videos/observation.images.head/chunk-000/file-006.mp4,57.833333333333336,7.105427357601002e-15,real_relation_consistency/event_alignment/video_checks/insert_10degree_060_near_target.png
