dataset,episode_index,frames,extraction_status,hole_tilt_reported_deg,grasp_start,release_frame,window_start,window_end_exclusive,n_grasp_segments,transport_distance_m,axis_x,axis_y,axis_z,tcp_x_m,tcp_y_m,tcp_z_m,terminal_tilt_deg,window_axis_spread_max_deg,pickup_tcp_x_m,pickup_tcp_y_m,pickup_tcp_z_m
insert_jc_fix_3,0,616,ok,0,195,512,491,506,1,0.20597192963287492,-0.004363068507241048,-0.01277000385866406,0.9999089411714703,0.519968425826775,0.11910582108800609,0.14048993710737698,0.7732179994177961,0.08291702409034096,0.5810494213906102,-0.08207384008602746,0.13073200439287455
insert_jc_fix_3,1,571,ok,0,184,460,439,454,1,0.20708338351685304,0.04202475199714339,-0.024115573120874974,0.9988254899393739,0.5187463112148465,0.11479212477733529,0.13976015806268074,2.777208699129715,0.02491982802854427,0.5578750058768581,-0.08894128028121764,0.1271837472825414
insert_jc_fix_3,2,706,ok,0,192,519,498,513,1,0.19413155968176832,0.005258574318584917,-0.05583117227835769,0.9984263756522862,0.5136907659087702,0.11316259912528641,0.1383373966912011,3.214734650146986,0.028183143624228173,0.533216640083567,-0.08533341852340849,0.12947654083340449
insert_jc_fix_3,3,630,ok,0,219,529,508,523,1,0.21219177305184853,-0.016582606377418155,0.004088246997548575,0.9998541410636946,0.5145492765683286,0.11095987523321273,0.13773207697786247,0.9786095063433354,0.24304757480686828,0.5745056235686419,-0.09075085622323706,0.1262932205319002
insert_jc_fix_3,4,632,ok,0,209,441,420,435,1,0.2005228785117578,0.01580524891007776,-0.01488112867943535,0.9997643452914875,0.5166415043138483,0.10967487950958946,0.1390915105919873,1.2438964261675431,0.015461770748305785,0.5583275609834351,-0.09048390609863327,0.12846625753253801
insert_jc_fix_3,5,623,ok,0,200,497,476,491,1,0.19959115460343888,0.05258909732430414,-0.01298438551650134,0.998531818509242,0.5168289225198266,0.11485768044817876,0.14249969565971735,3.105136184485464,0.09780003556059341,0.5326061954679474,-0.08498274098357918,0.13267711012333688
insert_jc_fix_3,6,685,ok,0,176,439,418,433,1,0.20885979690318066,-0.01956779975442787,-0.014983327488822173,0.9996962544243793,0.5137858072650605,0.11632609011828375,0.13819842717065153,1.4122240529717878,0.07852014900775746,0.5825896302685771,-0.08559017661083781,0.12495526771721782
insert_jc_fix_3,7,581,ok,0,154,490,469,484,1,0.2063853678985823,-0.03273411507877508,-0.061327937405708424,0.9975807545274573,0.5138923852406053,0.1227234012366309,0.13825521460870596,3.9862560647935776,0.04656789303220762,0.5691433803200314,-0.08177071712422357,0.1323779547281945
insert_jc_fix_3,8,610,ok,0,235,543,522,537,1,0.1992205715431763,0.015819510242286037,-0.0237590202995699,0.9995925430144519,0.5138193669146306,0.12092221797335358,0.14005601876534665,1.6356608605029672,0.0653663343780558,0.5476977672193502,-0.07847163219383663,0.12933104453116262
insert_jc_fix_3,9,601,ok,0,256,490,469,484,1,0.20693477458071374,0.06089182436346914,-0.06079838349416753,0.9962909927778052,0.5229784603388704,0.1167203719223799,0.1399761545233336,4.936291461665197,0.06546903478354349,0.5864023134325841,-0.08539852128873156,0.126866023287391
insert_jc_fix_3,10,596,ok,0,170,498,477,492,1,0.19525028247212753,0.08741823210277529,-0.013344873221870885,0.9960823093774518,0.5262849589124714,0.11457059582594266,0.14058064553605473,5.073347222481267,0.11797573545970338,0.5689831706238151,-0.08400397836285707,0.13144225678568228
insert_jc_fix_3,11,550,ok,0,138,445,424,439,1,0.20307827859624616,0.020896180553126857,-0.009095959106150957,0.99974027285402,0.5136768779792873,0.11879734630407258,0.1397513055811257,1.3058873116360576,0.11981172004160588,0.5381769891658075,-0.08435098713344345,0.13560240288966974
insert_jc_fix_3,12,588,ok,0,222,517,496,511,1,0.21036187540334939,0.047319578639509065,0.0008844852749954839,0.9988794097203013,0.5201140346740936,0.1157298763902015,0.13978241224470392,2.7126990766925094,0.0305031344035299,0.5803789454314451,-0.09013694694512428,0.12942580595597053
insert_jc_fix_3,13,464,ok,0,157,364,343,358,1,0.20029606170078162,0.05056780047291422,-0.005574925691262453,0.9987050704581751,0.5220831996887874,0.12015357104190037,0.14146063623507035,2.91613466694363,0.03999641919191507,0.5700982292308331,-0.08066291920101941,0.13095799093993174
insert_jc_fix_3,14,614,ok,0,212,536,515,530,1,0.19688604696146264,0.0762992611740292,0.009523722577404026,0.997039478382158,0.5241115429644969,0.1152323091996775,0.1411917884728734,4.409902134574911,0.12026551550518828,0.5419719084973309,-0.08500276010946094,0.1302626983180533
insert_jc_fix_3,15,556,ok,0,167,464,443,458,1,0.2079508831098428,-0.025609494749732533,-0.021205881493803168,0.9994470793237299,0.5148951635370113,0.11389303849536532,0.14474232275909804,1.9054127124606837,0.06209983879355537,0.589150959767642,-0.0834385569593004,0.13540399367695083
insert_jc_fix_3,16,547,ok,0,180,381,360,375,1,0.19007094645879916,0.015983482088430662,-0.033608908078339814,0.9993072448442023,0.5198046946857416,0.10150533451618284,0.13745907519314624,2.1328120630184837,0.12334722866716602,0.5606941396971596,-0.08400926509885348,0.1292821775281329
insert_jc_fix_3,17,539,ok,0,145,438,417,432,1,0.1953501866214023,0.0173879022623628,0.0036421197998485993,0.999842185456424,0.5164961358636538,0.1107023246150251,0.14008700284435469,1.017927515068098,0.10556602723009441,0.541451277833811,-0.0873941405029947,0.13076762369184233
insert_jc_fix_3,18,595,ok,0,224,497,476,491,1,0.20393865658861,0.07119472153733393,-0.01900839513239545,0.9972813006066605,0.5229175415168039,0.11741228010045618,0.142304188426586,4.225875202970865,0.0988809884991183,0.5984620969066989,-0.08042303040565987,0.1322195279729536
insert_jc_fix_3,19,679,ok,0,248,500,479,494,1,0.19552572461482665,0.03389163571085837,0.014019876838626853,0.9993271736935168,0.5195006861297,0.11114788586283546,0.13932780138100498,2.1019068490118866,0.13530572490642326,0.5663326117589056,-0.0802002113253591,0.1268856654905326
insert_jc_fix_3,20,594,ok,0,185,485,464,479,1,0.19661496697929565,0.06201813837265381,0.0074515327050557745,0.9980472058841384,0.5205281940679592,0.11253515103032398,0.14515027474535006,3.5812658253617746,0.0459650108185546,0.5322212485819244,-0.08836127768365491,0.1345736096947654
insert_jc_fix_3,21,608,ok,0,202,523,502,517,1,0.20790537790835437,-0.005793663050773371,-0.003518567564599454,0.9999770263114786,0.5114297548065785,0.11050291119266516,0.13840002570376717,0.38837728907704305,0.007918966386072335,0.576105573763784,-0.0895705295222074,0.12782187966460626
insert_jc_fix_3,22,550,ok,0,158,448,427,442,1,0.22666241478370316,-0.011650435028193875,-0.042815486772206736,0.9990150656802493,0.5148793752045603,0.11736411023684144,0.14050772540244508,2.543178936428526,0.03597722126276773,0.5584395678557152,-0.10579478122781967,0.130786462558732
insert_jc_fix_3,23,554,ok,0,156,481,460,475,1,0.1944844961155756,0.0033439315027473486,-0.012103355256493632,0.9999211603489747,0.5143527005157086,0.11293055479539313,0.13900811177704114,0.7194702327519901,0.032083758624688714,0.5287105659628272,-0.08673612261102069,0.1290658932614854
insert_jc_fix_3,24,498,ok,0,133,424,403,418,1,0.20459313804808854,0.005946363490074886,0.024052229549172514,0.999693018388624,0.5151602471589509,0.10967601951147986,0.14234085035008898,1.4197272611844731,0.17598779976378498,0.582134537756612,-0.08921119466969928,0.13260517034439143
insert_jc_fix_3,25,580,ok,0,132,456,435,450,1,0.20291858862814416,-0.03639989461803272,-0.011114671816280602,0.9992754934162112,0.5133097229270621,0.11140566958121419,0.1380740755474492,2.1811474345331985,0.18013638729956766,0.5619837593449539,-0.0883459507141266,0.12768454930446702
insert_jc_fix_3,26,530,ok,0,143,437,416,431,1,0.18647026744735476,-0.06193357653462898,-0.029619304999897417,0.9976406812419751,0.5105068552561789,0.10685764412126171,0.14070073230685146,3.936555367016088,0.08722740980374714,0.5313513749068351,-0.08493871917450133,0.1278407831723926
insert_jc_fix_3,27,632,ok,0,198,505,484,499,1,0.21132218830068195,0.002131537142521605,0.03032961658502629,0.9995376785830614,0.512354458133383,0.10987242557504628,0.14027501702379058,1.7423137735751624,0.03026873351920546,0.5761751921428934,-0.09209093072615428,0.13084966308410778
insert_jc_fix_3,28,575,ok,0,185,468,447,462,1,0.20298401808635821,0.06463869493488017,-0.022899982765209728,0.9976459441637944,0.5197199744399155,0.10964430074516004,0.14163102537050273,3.9321605614557797,0.011721409188234534,0.5646240595411083,-0.08804342634958848,0.1309300067355508
insert_jc_fix_3,29,552,ok,0,176,469,448,463,1,0.19015547423001214,0.005597637024637523,-0.03716854700259702,0.9992933330976727,0.5145538062010898,0.10809043231113453,0.14485038879744924,2.1541234285630178,0.10418820203383311,0.5346275319008464,-0.08715459183061251,0.1331973725755286
insert_jc_fix_3,30,563,ok,0,189,481,460,475,1,0.21197977869501164,0.00484804783724919,-0.01955393745806171,0.9997970493865512,0.5163546337162379,0.11475658103104883,0.14312329005302088,1.1543570502059168,0.018622103436060466,0.5847601997989447,-0.08730606921899434,0.13329201620008754
insert_jc_fix_3,31,591,ok,0,141,435,414,429,1,0.20641759299322845,-0.018594979457627402,-0.05764830127064782,0.9981637641687755,0.5123375430878767,0.11368860746737294,0.1444680227171929,3.4727085560685524,0.02347119647493633,0.5663005417094579,-0.08541407213965152,0.13425676096100114
insert_jc_fix_3,32,625,ok,0,173,470,449,464,1,0.1964573573042734,-0.05926243756540533,-0.02372062979155519,0.9979605679665396,0.5102896386372813,0.10628267716369437,0.1400647288298545,3.6598735921029513,0.21778190080438725,0.5266730064786511,-0.09114819708817952,0.12893170783929236
insert_jc_fix_3,33,498,ok,0,135,428,407,422,1,0.2090682119861788,-0.0366519766836599,-0.018188380790768063,0.9991625570493474,0.5123638050409931,0.10988602787655585,0.13822934737786002,2.3450146409301578,0.04231910804193031,0.5813231097003014,-0.0889391803395834,0.13080049349043243
insert_jc_fix_3,34,574,ok,0,140,455,434,449,1,0.20234836073084547,-0.021260920426750637,-0.058548231423557584,0.9980581535460651,0.5161731498970539,0.1137504020166784,0.14119050361911387,3.571209894529344,0.0542139487899936,0.5600623232648523,-0.08775566260941775,0.13186737624827263
