dataset,episode_index,video_duration_s,nominal_data_duration_s,delta_s
insert_jc_fix_3,0,20.533333333333335,20.533333333333335,0.0
insert_jc_fix_3,1,22.033333333333335,19.033333333333335,3.0
insert_jc_fix_3,2,23.53333333333334,23.533333333333335,3.552713678800501e-15
insert_jc_fix_3,3,21.0,21.0,0.0
insert_jc_fix_3,4,21.066666666666663,21.066666666666666,-3.552713678800501e-15
insert_jc_fix_3,5,20.766666666666666,20.766666666666666,0.0
insert_jc_fix_3,6,22.833333333333343,22.833333333333332,1.0658141036401503e-14
insert_jc_fix_3,7,19.366666666666674,19.366666666666667,7.105427357601002e-15
insert_jc_fix_3,8,20.333333333333343,20.333333333333332,1.0658141036401503e-14
insert_jc_fix_3,9,20.03333333333333,20.033333333333335,-3.552713678800501e-15
insert_jc_fix_3,10,19.866666666666674,19.866666666666667,7.105427357601002e-15
insert_jc_fix_3,11,18.333333333333343,18.333333333333332,1.0658141036401503e-14
insert_jc_fix_3,12,19.600000000000023,19.6,2.1316282072803006e-14
insert_jc_fix_3,13,15.46666666666664,15.466666666666667,-2.6645352591003757e-14
insert_jc_fix_3,14,20.46666666666664,20.466666666666665,-2.4868995751603507e-14
insert_jc_fix_3,15,18.53333333333336,18.533333333333335,2.4868995751603507e-14
insert_jc_fix_3,16,18.23333333333335,18.233333333333334,1.4210854715202004e-14
insert_jc_fix_3,17,17.96666666666664,17.966666666666665,-2.4868995751603507e-14
insert_jc_fix_3,18,19.833333333333314,19.833333333333332,-1.7763568394002505e-14
insert_jc_fix_3,19,22.633333333333326,22.633333333333333,-7.105427357601002e-15
insert_jc_fix_3,20,19.80000000000001,19.8,1.0658141036401503e-14
insert_jc_fix_3,21,20.26666666666665,20.266666666666666,-1.4210854715202004e-14
insert_jc_fix_3,22,18.333333333333314,18.333333333333332,-1.7763568394002505e-14
insert_jc_fix_3,23,18.46666666666664,18.466666666666665,-2.4868995751603507e-14
insert_jc_fix_3,24,16.600000000000023,16.6,2.1316282072803006e-14
insert_jc_fix_3,25,19.33333333333337,19.333333333333332,3.907985046680551e-14
insert_jc_fix_3,26,17.66666666666663,17.666666666666668,-3.907985046680551e-14
insert_jc_fix_3,27,21.06666666666672,21.066666666666666,5.3290705182007514e-14
insert_jc_fix_3,28,19.16666666666663,19.166666666666668,-3.907985046680551e-14
insert_jc_fix_3,29,18.399999999999977,18.4,-2.1316282072803006e-14
insert_jc_fix_3,30,18.76666666666665,18.766666666666666,-1.4210854715202004e-14
insert_jc_fix_3,31,19.700000000000045,19.7,4.618527782440651e-14
insert_jc_fix_3,32,20.83333333333337,20.833333333333332,3.907985046680551e-14
insert_jc_fix_3,33,16.600000000000023,16.6,2.1316282072803006e-14
insert_jc_fix_3,34,19.133333333333326,19.133333333333333,-7.105427357601002e-15
insert_jc_fix_3,35,23.533333333333303,23.533333333333335,-3.197442310920451e-14
insert_jc_fix_3,36,17.600000000000023,17.6,2.1316282072803006e-14
insert_jc_fix_3,37,18.83333333333337,18.833333333333332,3.907985046680551e-14
insert_jc_fix_3,38,18.33333333333337,18.333333333333332,3.907985046680551e-14
insert_jc_fix_3,39,21.0,21.0,0.0
insert_jc_fix_3,40,22.299999999999955,17.566666666666666,4.733333333333288
insert_jc_fix_3,41,19.533333333333303,19.533333333333335,-3.197442310920451e-14
insert_jc_fix_3,42,17.899999999999977,17.9,-2.1316282072803006e-14
insert_jc_fix_3,43,20.466666666666697,20.466666666666665,3.197442310920451e-14
insert_jc_fix_3,44,18.23333333333335,18.233333333333334,1.4210854715202004e-14
insert_jc_fix_3,45,23.0,23.0,0.0
insert_jc_fix_3,46,20.7,20.7,0.0
insert_jc_fix_3,47,29.500000000000004,29.5,3.552713678800501e-15
insert_jc_fix_3,48,24.16666666666667,24.166666666666668,3.552713678800501e-15
insert_jc_fix_3,49,23.96666666666667,23.966666666666665,3.552713678800501e-15
insert_10degree,0,41.56666666666667,41.56666666666667,0.0
insert_10degree,1,39.833333333333336,39.833333333333336,0.0
insert_10degree,2,36.7,36.7,0.0
insert_10degree,3,48.733333333333334,34.1,14.633333333333333
insert_10degree,4,48.5,48.5,0.0
insert_10degree,5,35.43333333333334,35.43333333333333,7.105427357601002e-15
insert_10degree,6,61.20000000000002,34.2,27.000000000000014
insert_10degree,7,35.633333333333326,35.63333333333333,-7.105427357601002e-15
insert_10degree,8,33.5,33.5,0.0
insert_10degree,9,35.166666666666664,35.166666666666664,0.0
