seed,condition_id,generator,method,segment,position_rmse_mm,orientation_rmse_deg,axis_rmse_deg
20260818,1,du,Frozen diagonal,All assembly,3.2342641328519903,0.47881543592483855,0.33129082421605527
20260818,2,du,Frozen diagonal,All assembly,1.8340838694436001,0.5173815248785644,0.44340544224094597
20260818,3,dv,Frozen diagonal,All assembly,2.8509572102064262,0.4523923379433284,0.372082669788027
20260818,4,dv,Frozen diagonal,All assembly,5.862852644899222,0.47870287806939293,0.383032729361283
20260818,5,dw,Frozen diagonal,All assembly,2.117241562919834,0.43797906825938226,0.40028410874529485
20260818,6,dw,Frozen diagonal,All assembly,2.399111855400906,0.7094366047074215,0.6398013578329262
20260818,7,roll,Frozen diagonal,All assembly,1.1776738575322576,0.967086661531626,0.9410994032178602
20260818,8,roll,Frozen diagonal,All assembly,2.5765373409948995,1.431058603378311,1.3439643538695363
20260818,9,pitch,Frozen diagonal,All assembly,5.612964122889194,0.8429739600227681,0.5537881760822582
20260818,10,pitch,Frozen diagonal,All assembly,2.468866496421422,1.0006763373860232,0.6752769215883105
20260818,11,yaw,Frozen diagonal,All assembly,6.944974145530319,3.3202596414410257,0.43404880078994057
20260818,12,yaw,Frozen diagonal,All assembly,2.529168839848804,1.6597782615998684,0.2850836644913387
20260818,13,yaw,Frozen diagonal,All assembly,1.5168065562954502,1.8842446305024707,0.27366164973965035
20260818,14,yaw,Frozen diagonal,All assembly,2.9109811686191165,3.603248335667096,0.44718275863475077
20260818,15,mixed,Frozen diagonal,All assembly,4.003355428408179,2.5523552544559607,1.5677071050274123
20260818,19,mixed,Frozen diagonal,All assembly,5.633646809676931,1.7406582019873647,1.168411405599976
20260818,23,mixed,Frozen diagonal,All assembly,3.422501534392452,0.6347824928972247,0.37799091865365486
20260818,27,mixed,Frozen diagonal,All assembly,4.119574384643373,3.1357503407766805,1.9490273549116421
20260818,31,mixed,Frozen diagonal,All assembly,2.4983570796219343,1.1900661647245023,0.599341015507066
20260818,35,mixed,Frozen diagonal,All assembly,1.4926443692990394,1.0459267888303163,0.8680167042279342
20260818,39,mixed,Frozen diagonal,All assembly,5.795168650941354,5.336972595547566,3.089479668112262
20260818,43,mixed,Frozen diagonal,All assembly,6.843359880234792,2.7157279032420902,0.9555211056200037
20260818,47,mixed,Frozen diagonal,All assembly,6.179895597172721,1.1653714787458054,0.9184011911651838
20260818,51,mixed,Frozen diagonal,All assembly,2.9349664500110704,0.5932566152177734,0.2822439412919027
20260818,55,mixed,Frozen diagonal,All assembly,4.932647751276196,0.8352262672658114,0.5738607504316316
20260818,59,mixed,Frozen diagonal,All assembly,2.82723588726542,1.6822498215546255,1.4914814408938573
20260818,63,mixed,Frozen diagonal,All assembly,5.347123904940462,1.7981472160228937,1.0440722259110047
