phase,generator,mean,seed_phase_mean_sd
Align,du,0.6164771448779753,0.00704415377346526
Align,dv,0.5694555240902236,0.06214698693069022
Align,dw,0.6622817659992586,0.024664540373339913
Align,roll,0.6584915107214391,0.008055062872146102
Align,pitch,0.6228532005286476,0.007118530634841973
Align,yaw,0.10388066595987651,0.0017935077427745783
Enter,du,0.9747218102001176,0.0008650243808713883
Enter,dv,0.9715765801796461,0.0014856376417435248
Enter,dw,0.9991565847637961,0.014002989843096272
Enter,roll,0.9767483415284046,0.0032895640717810516
Enter,pitch,0.9956537361696921,0.0009084382584543752
Enter,yaw,0.13112830848641324,0.0009759820870572519
Unlock label,du,0.9668405960711105,0.0007417556444919048
Unlock label,dv,0.9815745412693735,0.014532586319661298
Unlock label,dw,0.9952745832660276,0.015029027178943334
Unlock label,roll,0.9747397407298225,0.007586010087271587
Unlock label,pitch,0.9953901067545928,0.0015832997582324736
Unlock label,yaw,0.09123946174661308,0.0023878313805026723
Insert,du,0.9657301833396277,0.0032797393319502093
Insert,dv,0.9829796022754124,0.016464118291427614
Insert,dw,1.0014185946051255,0.015615869660940033
Insert,roll,0.9806416177870426,0.007782483220180966
Insert,pitch,0.998954290026111,0.0022662211258906695
Insert,yaw,0.08925612406322322,0.002728259944669509
