sample_index,source_progress,phase,phase_index,phase_progress,generator,mean,sd,seed_20260818,seed_20270818,seed_20280818
0,0.0,Align,0,0.0,du,0.0023655814638756634,0.002120407963118258,0.004571319420314862,0.0003422941130135518,0.0021831308582985764
1,0.010416666666666666,Align,0,0.041666666666666664,du,0.007126051052424133,0.0043775206504870065,0.011275940743908574,0.002551806563417111,0.007550405849946717
2,0.020833333333333332,Align,0,0.08333333333333333,du,0.019892442174685703,0.006865346008300746,0.025785639597411297,0.012353932759021666,0.021537754167624146
3,0.03125,Align,0,0.125,du,0.048032846300987385,0.007004891273080547,0.05353497632627384,0.040147248628372954,0.05041631394831536
4,0.041666666666666664,Align,0,0.16666666666666666,du,0.09657369842627019,0.003575370938382886,0.09944390384933695,0.09256863112955639,0.09770856029991722
5,0.05208333333333333,Align,0,0.20833333333333334,du,0.16301320570065622,0.002007175827985175,0.16459572697878938,0.1636883947223826,0.16075549540079667
6,0.0625,Align,0,0.25,du,0.23998493857942726,0.006135690679252289,0.2448470082579523,0.24201674016359978,0.23309106731672963
7,0.07291666666666666,Align,0,0.2916666666666667,du,0.32204290334183633,0.011688474262675622,0.3335728915144101,0.3223536775316165,0.31020214097948245
8,0.08333333333333333,Align,0,0.3333333333333333,du,0.4082605031418354,0.01686638874449179,0.42579673326793144,0.4068296589613274,0.3921551171962473
9,0.09375,Align,0,0.375,du,0.499956210119489,0.01905680876900645,0.5195792862413896,0.49876807759777053,0.481521266519307
10,0.10416666666666666,Align,0,0.4166666666666667,du,0.5967803847612326,0.017505789855197736,0.6141607615812376,0.5970285717433427,0.5791518209591178
11,0.11458333333333333,Align,0,0.4583333333333333,du,0.6941771639712594,0.013226730843312053,0.7072317168008427,0.6945150457204241,0.6807847293925114
12,0.125,Align,0,0.5,du,0.7842371858331018,0.00862439816579491,0.7938572235815315,0.7816568303889263,0.7771975035288473
13,0.13541666666666666,Align,0,0.5416666666666666,du,0.8593937950367877,0.008195917206656298,0.8680113981395907,0.8516974063750251,0.8584725805957472
14,0.14583333333333331,Align,0,0.5833333333333334,du,0.915717206086017,0.011385937332371544,0.9252946547553853,0.9031282300454003,0.9187287334572655
15,0.15625,Align,0,0.625,du,0.9534093676820207,0.013414820253604827,0.9644248930115266,0.9384702183894814,0.9573329916450541
16,0.16666666666666666,Align,0,0.6666666666666666,du,0.975247546140691,0.012571078722278566,0.9867992337940674,0.9618591531673077,0.9770842514606981
17,0.17708333333333331,Align,0,0.7083333333333334,du,0.984930699257653,0.009347436380331784,0.9953344621379355,0.9772396703063162,0.982217965328707
18,0.1875,Align,0,0.75,du,0.9862428796904771,0.008159884870388361,0.9937371533400928,0.9874415105458679,0.9775499751854704
19,0.19791666666666666,Align,0,0.7916666666666666,du,0.982811859593773,0.013190818785018942,0.9862599826524873,0.9939361651103943,0.9682394310184377
20,0.20833333333333331,Align,0,0.8333333333333334,du,0.9779064865717978,0.018941017189038335,0.9773461417803231,0.9971214587404781,0.9592518591945919
21,0.21875,Align,0,0.875,du,0.9740008319608399,0.021509598228482793,0.9707704558288425,0.9969429119355325,0.9542891281181446
22,0.22916666666666666,Align,0,0.9166666666666666,du,0.9723274675453718,0.019641954977397583,0.9686017899256741,0.9935654422267359,0.9548151704837055
23,0.23958333333333331,Align,0,0.9583333333333334,du,0.9728353677247074,0.01405541634514702,0.9707361288488917,0.9878223336009485,0.9599476407242817
24,0.25,Align,0,1.0,du,0.9746619997921663,0.006994437875948201,0.9753914629438445,0.9812631187626177,0.9673314176700366
25,0.25,Enter,1,0.0,du,0.9746619997921663,0.006994437875948201,0.9753914629438445,0.9812631187626177,0.9673314176700366
26,0.2604166666666667,Enter,1,0.041666666666666664,du,0.9767997348416952,0.003047378791190878,0.9802337059261491,0.9757478804446957,0.9744176181542411
27,0.2708333333333333,Enter,1,0.08333333333333333,du,0.9785494682824782,0.005414428012200463,0.9834552696140972,0.9727401013692122,0.9794530338641252
28,0.28125,Enter,1,0.125,du,0.9796272484958356,0.006144301031403269,0.9843444760291286,0.9726791621599432,0.9818581072984349
29,0.2916666666666667,Enter,1,0.16666666666666666,du,0.9800599210803265,0.00456901622975881,0.9832813076968022,0.9748308150664685,0.9820676404777086
30,0.3020833333333333,Enter,1,0.20833333333333334,du,0.980030404611646,0.002010302036606767,0.9813169088568772,0.9777138341096904,0.9810604708683702
31,0.3125,Enter,1,0.25,du,0.9797301570639915,0.00015003691716922914,0.9795572797213461,0.9798264010814866,0.9798067903891416
32,0.32291666666666663,Enter,1,0.2916666666666667,du,0.9792441145391527,0.0008941991303607808,0.9786142983512834,0.980267606263904,0.9788504390022705
33,0.3333333333333333,Enter,1,0.3333333333333333,du,0.9785223462340688,0.00042386834753947136,0.9783769271597788,0.9789997832667836,0.9781903282756437
34,0.34375,Enter,1,0.375,du,0.9774632253392728,0.0007410059008449223,0.9781971187553897,0.9767153060791556,0.9774772511832731
35,0.35416666666666663,Enter,1,0.4166666666666667,du,0.9760465182253714,0.001493564292235879,0.9773497753467751,0.9744166898120449,0.9763730895172942
36,0.3645833333333333,Enter,1,0.4583333333333333,du,0.9744187254834414,0.001345450126246202,0.9754952702984896,0.9729103889089106,0.9748505172429243
37,0.375,Enter,1,0.5,du,0.9728807478309877,0.00040760855234319983,0.9729139088087735,0.9724575717271311,0.973270762957058
38,0.38541666666666663,Enter,1,0.5416666666666666,du,0.9717894962139239,0.0012227395008144449,0.9704131427869737,0.9727503088016779,0.9722050370531199
39,0.3958333333333333,Enter,1,0.5833333333333334,du,0.9714138472911912,0.0022016022544435495,0.9689509366663241,0.9731908353040274,0.9720997699032221
40,0.40625,Enter,1,0.625,du,0.9718022378011805,0.002300761187077858,0.9691512745430511,0.973278707486064,0.9729767313744262
41,0.41666666666666663,Enter,1,0.6666666666666666,du,0.9727304866453782,0.001698059627467405,0.9709631397673537,0.9728787892541372,0.9743495309146438
