mode_id,block_id,pitch_deg,success_terminal,terminal_depth,terminal_lateral,E1,E2,E3,n_steps
lift_early,0,0.0,True,0.0706,0.0021,279,352,360,361
lift_early,1,0.0,True,0.0715,0.0017,275,346,355,356
lift_early,0,2.5,True,0.0691,0.0020,279,360,369,370
lift_late,0,-10.0,True,0.0693,0.0021,279,371,381,382
lift_late,1,-10.0,True,0.0693,0.0019,275,365,374,376
lift_late,2,-10.0,True,0.0693,0.0021,278,367,377,378
lift_late,3,-10.0,True,0.0706,0.0019,278,367,376,377
lift_late,4,-10.0,True,0.0703,0.0020,279,370,379,380
lift_late,0,10.0,True,0.0708,0.0020,280,369,376,377
lift_late,1,10.0,True,0.0690,0.0021,277,375,384,385
lift_late,2,10.0,True,0.0690,0.0020,280,370,378,379
lift_late,3,10.0,True,0.0689,0.0020,280,370,378,379
lift_late,4,10.0,True,0.0688,0.0021,280,368,376,377
lift_early,1,2.5,True,0.0691,0.0018,276,358,367,368
lift_late,0,-12.5,True,0.0711,0.0020,279,374,383,384
lift_late,1,-12.5,True,0.0698,0.0020,275,376,386,387
lift_late,2,-12.5,True,0.0702,0.0021,279,373,382,383
lift_late,3,-12.5,True,0.0702,0.0021,279,373,382,383
lift_late,4,-12.5,True,0.0691,0.0021,279,374,383,384
lift_late,0,12.5,True,0.0685,0.0021,281,365,373,374
lift_late,1,12.5,True,0.0694,0.0021,278,379,387,388
lift_late,2,12.5,True,0.0686,0.0021,280,366,374,375
lift_late,3,12.5,True,0.0683,0.0021,280,366,373,375
lift_late,4,12.5,True,0.0684,0.0020,281,363,370,372
lift_early,2,2.5,True,0.0707,0.0021,279,359,367,368
lift_late,0,-15.0,True,0.0704,0.0021,279,382,392,393
lift_late,1,-15.0,True,0.0694,0.0020,275,376,386,388
lift_late,2,-15.0,True,0.0696,0.0020,279,382,392,393
lift_late,3,-15.0,True,0.0717,0.0018,279,383,393,394
lift_late,4,-15.0,True,0.0717,0.0021,279,382,391,392
lift_late,0,15.0,True,0.0687,0.0021,282,376,384,385
lift_late,1,15.0,True,0.0712,0.0021,279,374,381,382
lift_late,2,15.0,True,0.0686,0.0021,280,373,381,382
lift_late,3,15.0,True,0.0704,0.0020,281,381,389,390
lift_late,4,15.0,True,0.0690,0.0021,282,376,384,385
lift_early,3,2.5,True,0.0689,0.0018,279,359,368,369
diagonal_early,0,0.0,True,0.0710,0.0017,251,323,331,332
diagonal_early,1,0.0,True,0.0694,0.0021,248,320,329,330
diagonal_early,2,0.0,True,0.0709,0.0021,250,324,332,333
diagonal_early,3,0.0,True,0.0695,0.0017,251,328,337,338
diagonal_early,4,0.0,True,0.0703,0.0021,251,323,331,332
diagonal_early,0,-2.5,True,0.0692,0.0021,251,325,334,335
diagonal_early,1,-2.5,True,0.0712,0.0021,248,321,330,331
diagonal_early,2,-2.5,True,0.0710,0.0015,250,326,335,336
diagonal_early,3,-2.5,True,0.0704,0.0019,250,326,334,335
diagonal_early,4,-2.5,True,0.0692,0.0021,251,325,334,335
lift_early,4,2.5,True,0.0711,0.0020,279,361,369,370
