method,target,theta_deg,success,depth,axis_err_deg,lateral_mm
no_adapt,lift_late,-5.0,False,0.0942,1.064,20.664
rigid,lift_late,-5.0,True,0.0717,1.175,1.479
source,lift_late,-5.0,True,0.0714,0.332,1.729
target,lift_late,-5.0,True,0.0714,0.349,1.709
no_adapt,lift_late,5.0,True,0.0716,7.538,2.338
rigid,lift_late,5.0,True,0.0715,0.361,1.629
source,lift_late,5.0,True,0.0699,1.690,1.457
target,lift_late,5.0,True,0.0705,1.042,1.306
no_adapt,lift_late,-10.0,False,0.0942,0.822,18.372
rigid,lift_late,-10.0,False,0.0681,10.831,1.125
source,lift_late,-10.0,True,0.0703,0.385,1.549
target,lift_late,-10.0,True,0.0713,2.199,1.647
no_adapt,lift_late,10.0,True,0.0713,6.459,0.391
rigid,lift_late,10.0,True,0.0716,0.363,1.443
source,lift_late,10.0,True,0.0699,0.529,1.547
target,lift_late,10.0,True,0.0707,0.392,1.595
no_adapt,lift_late,-5.0,False,0.0945,2.932,17.649
rigid,lift_late,-5.0,True,0.0713,3.068,0.814
source,lift_late,-5.0,True,0.0717,0.796,1.653
target,lift_late,-5.0,True,0.0716,0.822,1.498
no_adapt,lift_late,5.0,True,0.0705,4.055,1.259
rigid,lift_late,5.0,True,0.0717,0.918,1.976
source,lift_late,5.0,True,0.0705,0.324,1.553
target,lift_late,5.0,True,0.0706,0.372,1.508
no_adapt,lift_late,-10.0,False,0.0944,1.707,19.114
rigid,lift_late,-10.0,False,0.0693,9.599,0.943
source,lift_late,-10.0,True,0.0716,1.312,1.547
target,lift_late,-10.0,True,0.0715,1.246,1.386
no_adapt,lift_late,10.0,False,0.0641,9.502,0.124
rigid,lift_late,10.0,True,0.0711,1.164,1.820
source,lift_late,10.0,True,0.0718,0.335,1.664
target,lift_late,10.0,True,0.0697,0.367,1.419
no_adapt,lift_late,-5.0,False,0.0940,0.185,20.173
rigid,lift_late,-5.0,True,0.0716,3.084,1.114
source,lift_late,-5.0,True,0.0716,0.660,1.949
target,lift_late,-5.0,True,0.0711,0.111,1.870
no_adapt,lift_late,5.0,True,0.0687,8.159,1.352
rigid,lift_late,5.0,True,0.0705,0.892,1.671
source,lift_late,5.0,True,0.0718,0.095,1.845
