method,metric,source,target,mean,std,n
no_adapt,overall__pos_rmse_mm,diagonal_early,diagonal_early,20.529480066562865,6.3848432500588945,20
no_adapt,overall__pos_rmse_mm,diagonal_early,diagonal_late,18.457611167805794,5.714174849322273,20
no_adapt,overall__pos_rmse_mm,diagonal_early,lift_early,19.822872478113936,5.773028191829459,20
no_adapt,overall__pos_rmse_mm,diagonal_early,lift_late,16.812674982875045,5.339089598657674,20
no_adapt,overall__pos_rmse_mm,diagonal_late,diagonal_early,20.529480066562865,6.3848432500588945,20
no_adapt,overall__pos_rmse_mm,diagonal_late,diagonal_late,18.457611167805794,5.714174849322273,20
no_adapt,overall__pos_rmse_mm,diagonal_late,lift_early,19.822872478113936,5.773028191829459,20
no_adapt,overall__pos_rmse_mm,diagonal_late,lift_late,16.812674982875045,5.339089598657674,20
no_adapt,overall__pos_rmse_mm,lift_early,diagonal_early,20.529480066562865,6.3848432500588945,20
no_adapt,overall__pos_rmse_mm,lift_early,diagonal_late,18.457611167805794,5.714174849322273,20
no_adapt,overall__pos_rmse_mm,lift_early,lift_early,19.822872478113936,5.773028191829459,20
no_adapt,overall__pos_rmse_mm,lift_early,lift_late,16.812674982875045,5.339089598657674,20
no_adapt,overall__pos_rmse_mm,lift_late,diagonal_early,20.529480066562865,6.3848432500588945,20
no_adapt,overall__pos_rmse_mm,lift_late,diagonal_late,18.457611167805794,5.714174849322273,20
no_adapt,overall__pos_rmse_mm,lift_late,lift_early,19.822872478113936,5.773028191829459,20
no_adapt,overall__pos_rmse_mm,lift_late,lift_late,16.812674982875045,5.339089598657674,20
no_adapt,overall__axis_rmse_deg,diagonal_early,diagonal_early,5.781630118372659,1.8613353473321477,20
no_adapt,overall__axis_rmse_deg,diagonal_early,diagonal_late,5.055494500698358,1.7316661828215472,20
no_adapt,overall__axis_rmse_deg,diagonal_early,lift_early,5.864397598566826,2.028745016019963,20
no_adapt,overall__axis_rmse_deg,diagonal_early,lift_late,4.991702264296958,1.712677457752824,20
no_adapt,overall__axis_rmse_deg,diagonal_late,diagonal_early,5.781630118372659,1.8613353473321477,20
no_adapt,overall__axis_rmse_deg,diagonal_late,diagonal_late,5.055494500698358,1.7316661828215472,20
no_adapt,overall__axis_rmse_deg,diagonal_late,lift_early,5.864397598566826,2.028745016019963,20
no_adapt,overall__axis_rmse_deg,diagonal_late,lift_late,4.991702264296958,1.712677457752824,20
no_adapt,overall__axis_rmse_deg,lift_early,diagonal_early,5.781630118372659,1.8613353473321477,20
no_adapt,overall__axis_rmse_deg,lift_early,diagonal_late,5.055494500698358,1.7316661828215472,20
no_adapt,overall__axis_rmse_deg,lift_early,lift_early,5.864397598566826,2.028745016019963,20
no_adapt,overall__axis_rmse_deg,lift_early,lift_late,4.991702264296958,1.712677457752824,20
no_adapt,overall__axis_rmse_deg,lift_late,diagonal_early,5.781630118372659,1.8613353473321477,20
no_adapt,overall__axis_rmse_deg,lift_late,diagonal_late,5.055494500698358,1.7316661828215472,20
no_adapt,overall__axis_rmse_deg,lift_late,lift_early,5.864397598566826,2.028745016019963,20
no_adapt,overall__axis_rmse_deg,lift_late,lift_late,4.991702264296958,1.712677457752824,20
