model,global_progress,phase,phase_progress,alpha_x,alpha_y,g_translation,g_yaw
Pdiag finite,0.0,Align keyed,0.0,0.0001151795821054,0.022760084486602,0.0114376320343537,0.0009132584307461
Pdiag finite,0.0104166666666666,Align keyed,0.0416666666666666,0.0011243586102496,0.0334958032441791,0.0173100809272143,0.0030987159048741
Pdiag finite,0.0208333333333333,Align keyed,0.0833333333333333,0.0067040833850468,0.0521005168991991,0.0294023001421229,0.0091510646115118
Pdiag finite,0.03125,Align keyed,0.125,0.025276825826241,0.0827424677274249,0.054009646776833,0.0229348099506576
Pdiag finite,0.0416666666666666,Align keyed,0.1666666666666666,0.064084927944215,0.1295582449596626,0.0968215864519388,0.0482074987439176
Pdiag finite,0.0520833333333333,Align keyed,0.2083333333333333,0.1194110608567264,0.1942319560413588,0.1568215084490426,0.0855715903691383
Pdiag finite,0.0625,Align keyed,0.25,0.1811830065811675,0.2739328519735884,0.227557929277378,0.1317622166531776
Pdiag finite,0.0729166666666666,Align keyed,0.2916666666666667,0.2455257591737648,0.3623071697513229,0.3039164644625439,0.1833380108979939
Pdiag finite,0.0833333333333333,Align keyed,0.3333333333333333,0.3171773215313875,0.4533690972595525,0.38527320939547,0.2409393192618251
Pdiag finite,0.09375,Align keyed,0.375,0.4033080896711241,0.544537177838505,0.4739226337548145,0.3100689441442635
Pdiag finite,0.1041666666666666,Align keyed,0.4166666666666667,0.505853673274976,0.6361667153659248,0.5710101943204504,0.3982057669419147
Pdiag finite,0.1145833333333333,Align keyed,0.4583333333333333,0.6164063701620949,0.7285210415643909,0.6724637058632429,0.5090558371394696
Pdiag finite,0.125,Align keyed,0.5,0.7186499788751705,0.8189054480840974,0.7687777134796339,0.6357755893418268
Pdiag finite,0.1354166666666666,Align keyed,0.5416666666666666,0.7980891339645219,0.9014209774830392,0.8497550557237805,0.7600660838903799
Pdiag finite,0.1458333333333333,Align keyed,0.5833333333333334,0.8492213227629661,0.969735611982108,0.909478467372537,0.8624032088600652
Pdiag finite,0.15625,Align keyed,0.625,0.8748107212619883,1.020301901414984,0.9475563113384862,0.9334521260076208
Pdiag finite,0.1666666666666666,Align keyed,0.6666666666666666,0.8821395043377023,1.0531940462913294,0.9676667753145158,0.974744830191137
Pdiag finite,0.1770833333333333,Align keyed,0.7083333333333334,0.8804957573263161,1.0707326569107118,0.975614207118514,0.992834178548633
Pdiag finite,0.1875,Align keyed,0.75,0.879374988543237,1.0759084383965465,0.9776417134698918,0.9952665752546064
