contrast,block,segment,value
Early minus late,0,0,5.404765176170775e-07
Early minus late,0,1,0.39838832187579715
Early minus late,0,2,-0.010007217067004914
Early minus late,1,0,4.336808689942018e-19
Early minus late,1,1,0.40864681623792154
Early minus late,1,2,0.02479084400036713
Early minus late,2,0,-2.710505431213761e-19
Early minus late,2,1,0.401656487958829
Early minus late,2,2,0.04927594743064245
Early minus late,3,0,-0.0038237345219196994
Early minus late,3,1,0.39234669061892535
Early minus late,3,2,-0.009747155059695034
Early minus late,4,0,-6.505213034913027e-19
Early minus late,4,1,0.39884671311017544
Early minus late,4,2,-0.039474111196202366
Lift minus diagonal,0,0,0.0043572888358147065
Lift minus diagonal,0,1,0.00027292747276774776
Lift minus diagonal,0,2,-0.04076565995795445
Lift minus diagonal,1,0,0.004024818652288965
Lift minus diagonal,1,1,0.0049153219725175945
Lift minus diagonal,1,2,-0.07123020149565407
Lift minus diagonal,2,0,-0.00668914086340901
Lift minus diagonal,2,1,-0.005203530856593724
Lift minus diagonal,2,2,0.04489029576041126
Lift minus diagonal,3,0,-0.0032152062845565276
Lift minus diagonal,3,1,0.007869498594464175
Lift minus diagonal,3,2,-0.01889666677775209
Lift minus diagonal,4,0,-0.012912489190548496
Lift minus diagonal,4,1,-0.0150831421561608
Lift minus diagonal,4,2,-0.02574404704078248
