dataset,episode,variant,event,frame,time_s
insert_jc_fix_3,0,strict,grasp,195.0,6.5
insert_jc_fix_3,0,strict,lift_clearance,240.0,8.0
insert_jc_fix_3,0,strict,assembly_region,278.0,9.266666412353516
insert_jc_fix_3,0,strict,axial_advance_candidate,372.0,12.399999618530273
insert_jc_fix_3,0,strict,terminal_settle_candidate,390.0,13.0
insert_jc_fix_3,0,strict,release,512.0,17.066667556762695
insert_jc_fix_3,0,main,grasp,195.0,6.5
insert_jc_fix_3,0,main,lift_clearance,240.0,8.0
insert_jc_fix_3,0,main,assembly_region,278.0,9.266666412353516
insert_jc_fix_3,0,main,axial_advance_candidate,372.0,12.399999618530273
insert_jc_fix_3,0,main,terminal_settle_candidate,390.0,13.0
insert_jc_fix_3,0,main,release,512.0,17.066667556762695
insert_jc_fix_3,0,loose,grasp,195.0,6.5
insert_jc_fix_3,0,loose,lift_clearance,240.0,8.0
insert_jc_fix_3,0,loose,assembly_region,278.0,9.266666412353516
insert_jc_fix_3,0,loose,axial_advance_candidate,372.0,12.399999618530273
insert_jc_fix_3,0,loose,terminal_settle_candidate,390.0,13.0
insert_jc_fix_3,0,loose,release,512.0,17.066667556762695
insert_jc_fix_3,0,own_terminal_offline,grasp,195.0,6.5
insert_jc_fix_3,0,own_terminal_offline,lift_clearance,240.0,8.0
insert_jc_fix_3,0,own_terminal_offline,assembly_region,280.0,9.333333015441895
insert_jc_fix_3,0,own_terminal_offline,axial_advance_candidate,372.0,12.399999618530273
insert_jc_fix_3,0,own_terminal_offline,terminal_settle_candidate,390.0,13.0
insert_jc_fix_3,0,own_terminal_offline,release,512.0,17.066667556762695
insert_jc_fix_3,1,strict,grasp,184.0,6.133333206176758
insert_jc_fix_3,1,strict,lift_clearance,226.0,7.5333333015441895
insert_jc_fix_3,1,strict,assembly_region,288.0,9.600000381469727
insert_jc_fix_3,1,strict,axial_advance_candidate,390.0,13.0
insert_jc_fix_3,1,strict,terminal_settle_candidate,399.0,13.300000190734863
insert_jc_fix_3,1,strict,release,460.0,15.333333015441895
insert_jc_fix_3,1,main,grasp,184.0,6.133333206176758
insert_jc_fix_3,1,main,lift_clearance,226.0,7.5333333015441895
insert_jc_fix_3,1,main,assembly_region,288.0,9.600000381469727
insert_jc_fix_3,1,main,axial_advance_candidate,347.0,11.566666603088379
insert_jc_fix_3,1,main,terminal_settle_candidate,399.0,13.300000190734863
insert_jc_fix_3,1,main,release,460.0,15.333333015441895
insert_jc_fix_3,1,loose,grasp,184.0,6.133333206176758
insert_jc_fix_3,1,loose,lift_clearance,226.0,7.5333333015441895
insert_jc_fix_3,1,loose,assembly_region,288.0,9.600000381469727
insert_jc_fix_3,1,loose,axial_advance_candidate,325.0,10.833333015441895
insert_jc_fix_3,1,loose,terminal_settle_candidate,399.0,13.300000190734863
insert_jc_fix_3,1,loose,release,460.0,15.333333015441895
insert_jc_fix_3,1,own_terminal_offline,grasp,184.0,6.133333206176758
