episode,nominal_episode,radius_mm,method,segment,axis_rmse_deg,position_rmse_mm
1,40,20.0,No adaptation,Whole,9.08546654405804,26.80742384764904
1,40,20.0,No adaptation,Apex to end,10.25874236668019,28.9812802822902
1,40,20.0,No adaptation,Near to end,8.534484822041486,14.274252409143648
1,40,20.0,Identity,Whole,9.213325215121873,30.039044400553877
1,40,20.0,Identity,Apex to end,8.085387295513238,29.929957503817715
1,40,20.0,Identity,Near to end,5.131142670547868,14.156703359164743
1,40,20.0,Event ramp,Whole,7.414746888257118,26.640274149499234
1,40,20.0,Event ramp,Apex to end,7.941007342925848,29.18386969520419
1,40,20.0,Event ramp,Near to end,5.131142670547868,14.156703359164743
1,40,20.0,Frozen law,Whole,7.903765743717973,27.49215905631357
1,40,20.0,Frozen law,Apex to end,8.673344103324443,29.924936050060015
1,40,20.0,Frozen law,Near to end,5.187136160944171,14.224264058944941
2,21,20.0,No adaptation,Whole,10.92921849427283,42.045062100445655
2,21,20.0,No adaptation,Apex to end,12.497318633378635,25.20937266306008
2,21,20.0,No adaptation,Near to end,12.405745198023432,15.551106102230868
2,21,20.0,Identity,Whole,6.748528401198559,50.96993013806264
2,21,20.0,Identity,Apex to end,6.287265389967971,21.71442233940963
2,21,20.0,Identity,Near to end,5.348462656478242,9.442748093758807
2,21,20.0,Event ramp,Whole,6.013130675005039,43.22599317745959
2,21,20.0,Event ramp,Apex to end,6.643619274820861,21.006141072460647
2,21,20.0,Event ramp,Near to end,5.348462656478242,9.442748093758807
2,21,20.0,Frozen law,Whole,6.811159516149187,39.98182280870799
2,21,20.0,Frozen law,Apex to end,6.852791518597477,19.55731728452721
2,21,20.0,Frozen law,Near to end,5.320130584423658,9.421681109784315
3,45,20.0,No adaptation,Whole,8.706800248495844,20.86388292051315
3,45,20.0,No adaptation,Apex to end,10.168516364013911,21.404298753770565
3,45,20.0,No adaptation,Near to end,10.09215824475512,18.874385620126017
3,45,20.0,Identity,Whole,7.9397247851129285,22.780937534423643
3,45,20.0,Identity,Apex to end,5.720015314244206,21.1497835887428
3,45,20.0,Identity,Near to end,4.655065454902125,18.428170654857283
3,45,20.0,Event ramp,Whole,5.649284070830931,19.085943377426492
3,45,20.0,Event ramp,Apex to end,5.673441034410087,20.167418934681713
3,45,20.0,Event ramp,Near to end,4.655065454902125,18.428170654857283
3,45,20.0,Frozen law,Whole,5.608051939183764,20.534706784577942
3,45,20.0,Frozen law,Apex to end,6.089428027049967,20.922961692027595
3,45,20.0,Frozen law,Near to end,4.684976513200158,18.487541573335047
4,45,20.0,No adaptation,Whole,7.204166374525675,40.539016787829624
4,45,20.0,No adaptation,Apex to end,7.9076693156151725,34.00610878337463
4,45,20.0,No adaptation,Near to end,7.980281073806009,20.369344974487543
4,45,20.0,Identity,Whole,8.591607384762305,33.602250656198464
4,45,20.0,Identity,Apex to end,4.666673398815484,31.49802358881698
4,45,20.0,Identity,Near to end,4.08199030831954,20.075435325609625
4,45,20.0,Event ramp,Whole,5.522761674795512,36.729742864078595
4,45,20.0,Event ramp,Apex to end,4.091355480367964,32.038437611076965
4,45,20.0,Event ramp,Near to end,4.08199030831954,20.075435325609625
4,45,20.0,Frozen law,Whole,4.809267214053579,39.98747809188635
4,45,20.0,Frozen law,Apex to end,4.41782995220914,33.015376513486764
4,45,20.0,Frozen law,Near to end,4.154775704825259,20.127561154328895
6,6,20.0,No adaptation,Whole,12.45672531132119,41.59714362968733
6,6,20.0,No adaptation,Apex to end,14.673169366509532,39.572174250303185
6,6,20.0,No adaptation,Near to end,14.64887286050465,26.373798761968196
6,6,20.0,Identity,Whole,8.940184512096916,32.39714845360224
6,6,20.0,Identity,Apex to end,6.742803672500349,28.373431705946103
6,6,20.0,Identity,Near to end,5.874439189152629,16.63707112124778
6,6,20.0,Event ramp,Whole,7.2131570766788355,33.81621460198095
6,6,20.0,Event ramp,Apex to end,7.399683553959357,30.829437765874708
6,6,20.0,Event ramp,Near to end,5.874439189152629,16.63707112124778
6,6,20.0,Frozen law,Whole,6.642948245797268,36.626802693919224
6,6,20.0,Frozen law,Apex to end,7.020665371555303,31.379646300521703
6,6,20.0,Frozen law,Near to end,5.802488262693059,16.561442139737835
7,40,20.0,No adaptation,Whole,9.769558716812751,30.54156824592904
7,40,20.0,No adaptation,Apex to end,11.310766221986478,33.84724287783902
7,40,20.0,No adaptation,Near to end,11.206891079470465,15.715623468797538
7,40,20.0,Identity,Whole,7.780882196186745,24.600549011344853
7,40,20.0,Identity,Apex to end,4.836749449879234,23.74725646997012
7,40,20.0,Identity,Near to end,1.2754861298298772,7.330971583247849
7,40,20.0,Event ramp,Whole,5.49135316241589,23.671183690471423
7,40,20.0,Event ramp,Apex to end,4.924930475738146,26.40330901377575
7,40,20.0,Event ramp,Near to end,1.2754861298298772,7.330971583247849
7,40,20.0,Frozen law,Whole,5.176901022438762,25.752041879311395
7,40,20.0,Frozen law,Apex to end,5.030635565300656,27.249605623191595
7,40,20.0,Frozen law,Near to end,1.1607534884594037,7.315469906558785
8,21,20.0,No adaptation,Whole,8.621582358854749,28.273223829681946
8,21,20.0,No adaptation,Apex to end,10.020800875772517,30.2584274163258
8,21,20.0,No adaptation,Near to end,8.853142824727483,18.994885984858463
8,21,20.0,Identity,Whole,6.360056734396973,32.318577589524985
8,21,20.0,Identity,Apex to end,4.324683144526797,19.9157771875888
8,21,20.0,Identity,Near to end,1.8199018780078158,10.953652869530348
8,21,20.0,Event ramp,Whole,4.262687504478742,24.957221528709315
8,21,20.0,Event ramp,Apex to end,4.584805698542778,22.292855042838752
8,21,20.0,Event ramp,Near to end,1.8199018780078158,10.953652869530348
8,21,20.0,Frozen law,Whole,4.703710203573353,22.921545096087833
8,21,20.0,Frozen law,Apex to end,4.7291342361661775,22.493595133450725
8,21,20.0,Frozen law,Near to end,1.8981820286050937,10.898656407234869
9,6,20.0,No adaptation,Whole,14.091609789723353,37.737491475134895
9,6,20.0,No adaptation,Apex to end,15.655686779620703,34.959484430125336
9,6,20.0,No adaptation,Near to end,14.178468065750181,23.563822508229634
9,6,20.0,Identity,Whole,7.1855484611102645,43.30747213914142
9,6,20.0,Identity,Apex to end,7.4070652576774725,29.479368001838914
9,6,20.0,Identity,Near to end,5.83586011742172,14.341779451036395
9,6,20.0,Event ramp,Whole,8.4496757431104,35.98056925259481
9,6,20.0,Event ramp,Apex to end,8.787722097795802,29.670816479928636
9,6,20.0,Event ramp,Near to end,5.83586011742172,14.341779451036395
9,6,20.0,Frozen law,Whole,9.303585613784685,34.69408178137987
9,6,20.0,Frozen law,Apex to end,8.810784594695784,29.876385412018447
9,6,20.0,Frozen law,Near to end,5.780974373136811,14.268135920938184
11,45,20.0,No adaptation,Whole,9.456203767571159,32.5597636501642
11,45,20.0,No adaptation,Apex to end,11.082017811588521,35.56239961078928
11,45,20.0,No adaptation,Near to end,11.290983504971466,18.870695273418313
11,45,20.0,Identity,Whole,6.845573006161284,26.01203566570308
11,45,20.0,Identity,Apex to end,2.8831070873530495,25.39740076449748
11,45,20.0,Identity,Near to end,1.527738425565412,14.604554746549503
11,45,20.0,Event ramp,Whole,4.219430405763784,25.88148226604208
11,45,20.0,Event ramp,Apex to end,3.080991025423356,28.21984137716579
11,45,20.0,Event ramp,Near to end,1.527738425565412,14.604554746549503
11,45,20.0,Frozen law,Whole,3.4820615308158884,27.44057006865218
11,45,20.0,Frozen law,Apex to end,2.6928073995672657,28.380888678665375
11,45,20.0,Frozen law,Near to end,1.4104478609411117,14.61411655459589
12,45,20.0,No adaptation,Whole,8.680460471438654,24.06616466943013
12,45,20.0,No adaptation,Apex to end,10.218937452647998,23.657805286767974
12,45,20.0,No adaptation,Near to end,10.917897907809362,19.055371385052428
12,45,20.0,Identity,Whole,6.7045233648566676,20.162847209918876
12,45,20.0,Identity,Apex to end,3.0719381119153804,17.235539717677675
12,45,20.0,Identity,Near to end,2.6254197991426382,14.437958677949362
12,45,20.0,Event ramp,Whole,3.8518044373337332,18.304905658081193
