target_episode,nominal_episode,pickup_distance_mm,split
0,40,4.377994023032851,Calibration
1,40,0.9321383962886568,Evaluation
2,21,3.1934521570393115,Evaluation
3,45,2.3159425185380993,Evaluation
4,45,2.1509118215227274,Evaluation
5,21,0.8325791272526534,Calibration
6,6,1.3536385721754471,Evaluation
7,40,1.904222757835942,Evaluation
8,21,3.1976904341192456,Evaluation
9,6,0.4018273441348918,Evaluation
10,40,1.596353254488115,Calibration
11,45,1.122618256433979,Evaluation
12,45,1.8122893450705788,Evaluation
13,40,0.748255868644514,Evaluation
14,6,0.6168047748830605,Evaluation
15,45,1.2184215368195406,Calibration
16,33,2.261153384452075,Evaluation
17,40,1.209748778685512,Evaluation
18,21,2.0230943277213083,Evaluation
19,40,2.0142746812047543,Evaluation
20,0,0.425381271989983,Calibration
21,0,0.9353513619531244,Evaluation
22,0,2.374572186221212,Evaluation
23,40,1.358741439151522,Evaluation
24,0,6.171381480850676,Evaluation
25,21,0.9292848094841448,Calibration
26,15,3.3172044874999327,Evaluation
27,21,0.8273418141413317,Evaluation
28,33,2.0829789156612954,Evaluation
29,10,4.382463582959203,Evaluation
30,21,0.9630349579287187,Calibration
31,0,6.606652353889825,Evaluation
32,6,1.2834353463733472,Evaluation
33,21,4.28758026543846,Evaluation
34,48,5.902523503043867,Evaluation
35,0,0.6781896545050012,Calibration
36,0,2.6077843704452817,Evaluation
37,40,1.5148705661266855,Evaluation
38,40,4.577709114005334,Evaluation
39,40,3.18702526319302,Evaluation
40,15,4.262130003410595,Calibration
41,40,1.0482904859963598,Evaluation
42,40,3.9246607885726057,Evaluation
43,10,4.781227332676192,Evaluation
44,3,3.8315099600885265,Evaluation
45,0,3.2008471224383164,Calibration
46,21,0.7959472763214308,Evaluation
47,45,1.4354223913758695,Evaluation
48,45,1.6624073140009723,Evaluation
49,6,1.5892058524047792,Evaluation
50,0,1.6502387254508049,Calibration
51,40,1.7900145537885326,Evaluation
52,0,1.8848275319122882,Evaluation
53,45,3.456168112262102,Evaluation
54,21,2.8587432153263888,Evaluation
55,40,2.416146878071366,Calibration
56,45,1.471753753696047,Evaluation
57,40,1.237177598108293,Evaluation
58,6,1.3072723529395816,Evaluation
59,40,2.7568481235786533,Evaluation
60,0,1.6435582579312054,Calibration
