episode,factor,value,segment,axis_rmse_deg,position_rmse_mm
1,Axis azimuth,-15,Apex to end,6.052553257019043,33.03353556787485
1,Axis azimuth,-15,Near to end,3.6032891524134025,15.147964739010995
1,Axis azimuth,0,Apex to end,7.827985322469527,35.59757876601923
1,Axis azimuth,0,Near to end,5.87755511110326,16.988400389393288
1,Axis azimuth,15,Apex to end,9.808012865643066,38.53315511207873
1,Axis azimuth,15,Near to end,8.163457500602997,19.032039211665897
1,Pivot lever arm,0,Apex to end,7.827985322469527,37.423801089365696
1,Pivot lever arm,0,Near to end,5.87755511110326,17.321630672377953
1,Pivot lever arm,50,Apex to end,7.827985322469527,35.575322184514356
1,Pivot lever arm,50,Near to end,5.87755511110326,17.317268880697323
1,Pivot lever arm,100,Apex to end,7.827985322469527,35.58280391607222
1,Pivot lever arm,100,Near to end,5.87755511110326,21.321966423993377
1,Source seed,20260910,Apex to end,7.855013804166911,35.66518574787209
1,Source seed,20260910,Near to end,5.877472725221539,16.988702835642396
1,Source seed,20270910,Apex to end,7.813244491991568,35.54806693543423
1,Source seed,20270910,Near to end,5.879937952906256,16.990474951178612
1,Source seed,20280910,Apex to end,7.817124964102799,35.580962691118586
1,Source seed,20280910,Near to end,5.875395209628345,16.98611779777197
2,Axis azimuth,-15,Apex to end,6.353206108534286,30.39554626766855
2,Axis azimuth,-15,Near to end,3.8401381489482924,9.778349307228664
2,Axis azimuth,0,Apex to end,8.306244067014061,32.33165430760458
2,Axis azimuth,0,Near to end,6.262847085168998,11.918132780333137
2,Axis azimuth,15,Apex to end,10.459660168003376,34.499859076272514
2,Axis azimuth,15,Near to end,8.839407649771621,14.770467060411145
2,Pivot lever arm,0,Apex to end,8.306244067014061,32.581783615507916
2,Pivot lever arm,0,Near to end,6.262847085168998,17.999097233357556
2,Pivot lever arm,50,Apex to end,8.306244067014061,31.606598777707433
2,Pivot lever arm,50,Near to end,6.262847085168998,13.28436599525302
2,Pivot lever arm,100,Apex to end,8.306244067014061,32.739139794200895
2,Pivot lever arm,100,Near to end,6.262847085168998,13.559896641908432
2,Source seed,20260910,Apex to end,8.33478125962703,32.258485877002705
2,Source seed,20260910,Near to end,6.264412713404591,11.916090269546647
2,Source seed,20270910,Apex to end,8.292804587170325,32.385817641405666
2,Source seed,20270910,Near to end,6.262332341637001,11.917139077951122
2,Source seed,20280910,Apex to end,8.292487197252374,32.35227405900866
2,Source seed,20280910,Near to end,6.261928507547166,11.921301395482358
3,Axis azimuth,-15,Apex to end,4.62306346403956,18.648795117554958
3,Axis azimuth,-15,Near to end,2.4319555328422977,13.854239672659869
3,Axis azimuth,0,Apex to end,6.441508098743521,21.621509876180276
3,Axis azimuth,0,Near to end,4.933682788554052,16.77737054929674
3,Axis azimuth,15,Apex to end,8.476477764791303,24.55792139030628
3,Axis azimuth,15,Near to end,7.40747781442847,19.647828709262388
3,Pivot lever arm,0,Apex to end,6.441508098743521,20.49267412695727
3,Pivot lever arm,0,Near to end,4.933682788554052,16.569184490490088
3,Pivot lever arm,50,Apex to end,6.441508098743521,20.5159810771025
3,Pivot lever arm,50,Near to end,4.933682788554052,15.252543998091365
3,Pivot lever arm,100,Apex to end,6.441508098743521,23.60785868477798
3,Pivot lever arm,100,Near to end,4.933682788554052,18.59117695335499
3,Source seed,20260910,Apex to end,6.4709544843108295,21.606563407588364
3,Source seed,20260910,Near to end,4.93605350551937,16.778100359406498
3,Source seed,20270910,Apex to end,6.429586506861164,21.64785618369101
3,Source seed,20270910,Near to end,4.933575418313137,16.779046524441192
3,Source seed,20280910,Apex to end,6.425707091384399,21.612717629373872
3,Source seed,20280910,Near to end,4.931586783961158,16.775064247254313
4,Axis azimuth,-15,Apex to end,2.4482462649964534,35.760888289393485
