factor,value,segment,axis_rmse_deg,position_rmse_mm
Axis azimuth,-15,Apex to end,5.241792936319328,24.85899222397656
Axis azimuth,-15,Near to end,4.120210613676277,12.955099087713629
Axis azimuth,0,Apex to end,5.373704152881832,26.711023373565364
Axis azimuth,0,Near to end,3.6560923724283554,14.487135209009873
Axis azimuth,15,Apex to end,6.408074836853401,28.9467588967188
Axis azimuth,15,Near to end,4.606025052634637,16.633000943956876
Pivot lever arm,0,Apex to end,5.373704152881832,28.308285893096425
Pivot lever arm,0,Near to end,3.6560923724283554,18.645721178403505
Pivot lever arm,50,Apex to end,5.373704152881832,26.794362497794936
Pivot lever arm,50,Near to end,3.6560923724283554,15.469465171246304
Pivot lever arm,100,Apex to end,5.373704152881832,27.78039387462172
Pivot lever arm,100,Near to end,3.6560923724283554,16.72227145514535
Source seed,20260910,Apex to end,5.402320199801255,26.711729974387964
Source seed,20260910,Near to end,3.6585792802792034,14.487198943820564
Source seed,20270910,Apex to end,5.36080167008893,26.716466365535382
Source seed,20270910,Near to end,3.654634179472924,14.487181171388217
Source seed,20280910,Apex to end,5.360157882542366,26.707078386325097
Source seed,20280910,Near to end,3.6553428327352204,14.487139380397402
