radius_mm,seed,progress,alpha
20.0,20260910,0.0,0.0
20.0,20260910,0.02,0.0
20.0,20260910,0.04,0.0
20.0,20260910,0.06,0.0
20.0,20260910,0.08,0.0
20.0,20260910,0.1,0.0
20.0,20260910,0.12,0.0
20.0,20260910,0.14,0.0
20.0,20260910,0.16,0.0
20.0,20260910,0.18,0.0
20.0,20260910,0.2,0.0
20.0,20260910,0.22,0.0
20.0,20260910,0.24,0.0
20.0,20260910,0.26,0.0
20.0,20260910,0.28,0.0
20.0,20260910,0.3,0.0
20.0,20260910,0.32,0.0
20.0,20260910,0.34,0.0
20.0,20260910,0.36,0.0
20.0,20260910,0.38,0.0
20.0,20260910,0.4,0.0
20.0,20260910,0.42,0.0
20.0,20260910,0.44,0.0
20.0,20260910,0.46,0.0
20.0,20260910,0.48,0.0
20.0,20260910,0.5,0.0
20.0,20260910,0.52,0.0
20.0,20260910,0.54,0.0
20.0,20260910,0.56,0.0
20.0,20260910,0.58,0.0
20.0,20260910,0.6,0.0
20.0,20260910,0.62,0.0
20.0,20260910,0.64,0.0
20.0,20260910,0.66,0.0
20.0,20260910,0.68,0.0
20.0,20260910,0.7000000000000001,0.0
20.0,20260910,0.72,0.0
20.0,20260910,0.74,0.0
20.0,20260910,0.76,0.0
20.0,20260910,0.78,0.0
20.0,20260910,0.8,0.0
20.0,20260910,0.8200000000000001,0.0
20.0,20260910,0.84,0.0
20.0,20260910,0.86,0.0
20.0,20260910,0.88,0.0
20.0,20260910,0.9,0.0
20.0,20260910,0.92,0.0
20.0,20260910,0.9400000000000001,0.0
20.0,20260910,0.96,0.0
20.0,20260910,0.98,0.0
20.0,20260910,1.0,0.0
20.0,20260910,1.02,0.0
20.0,20260910,1.04,0.007235080520423374
20.0,20260910,1.06,0.02215081571127217
20.0,20260910,1.08,0.053034896457421835
20.0,20260910,1.1,0.10370215321320353
20.0,20260910,1.12,0.17299857029928634
20.0,20260910,1.1400000000000001,0.25718665593145673
20.0,20260910,1.16,0.353801133899661
20.0,20260910,1.18,0.4623065126545866
20.0,20260910,1.2,0.581130615902531
20.0,20260910,1.22,0.7042033613417494
20.0,20260910,1.24,0.8207998998357977
20.0,20260910,1.26,0.9194111817247735
20.0,20260910,1.28,0.9927710236551919
20.0,20260910,1.3,1.0426793886888783
20.0,20260910,1.32,1.072839945917109
20.0,20260910,1.34,1.0872866694278207
20.0,20260910,1.36,1.0892097410465658
20.0,20260910,1.3800000000000001,1.0810473690517617
20.0,20260910,1.4000000000000001,1.0652501953548317
20.0,20260910,1.42,1.0451154007039194
20.0,20260910,1.44,1.0249964294289449
20.0,20260910,1.46,1.0094008577060214
20.0,20260910,1.48,1.0061088841524501
20.0,20260910,1.5,1.002352732102448
20.0,20260910,1.52,1.0012397252811485
20.0,20260910,1.54,1.0010662250577291
20.0,20260910,1.56,1.0031350791236968
20.0,20260910,1.58,1.0055084924018054
20.0,20260910,1.6,1.0087419679443106
20.0,20260910,1.62,1.011864606335295
20.0,20260910,1.6400000000000001,1.0146177875545428
20.0,20260910,1.6600000000000001,1.0168488570287364
20.0,20260910,1.68,1.0182805872826264
20.0,20260910,1.7,1.0188705856891447
20.0,20260910,1.72,1.018797720265858
20.0,20260910,1.74,1.0178917188020864
20.0,20260910,1.76,1.016667757206922
20.0,20260910,1.78,1.014994261473169
20.0,20260910,1.8,1.0132714705879888
20.0,20260910,1.82,1.0116812722478197
20.0,20260910,1.84,1.0102099392842536
20.0,20260910,1.86,1.0091680554232534
20.0,20260910,1.8800000000000001,1.0083659901751598
20.0,20260910,1.9000000000000001,1.0079533551516946
20.0,20260910,1.92,1.007796682175129
20.0,20260910,1.94,1.007853310904313
20.0,20260910,1.96,1.0080908966491648
20.0,20260910,1.98,1.0084024697452503
20.0,20260910,2.0,1.0088424807068834
20.0,20260910,2.02,1.0090669242103731
20.0,20260910,2.04,1.0092946481538552
20.0,20260910,2.06,1.0096109439771255
20.0,20260910,2.08,1.009927239800396
20.0,20260910,2.1,1.0102435356236663
20.0,20260910,2.12,1.0106002710111626
20.0,20260910,2.14,1.0110581053092227
20.0,20260910,2.16,1.011515939607283
20.0,20260910,2.18,1.0119737739053432
20.0,20260910,2.2,1.012509991179148
20.0,20260910,2.22,1.0131141403652648
20.0,20260910,2.24,1.0137182895513817
20.0,20260910,2.2600000000000002,1.0143224387374985
20.0,20260910,2.2800000000000002,1.0149668249106227
20.0,20260910,2.3000000000000003,1.0156221848074762
20.0,20260910,2.32,1.0162775447043297
20.0,20260910,2.34,1.0169279268122964
20.0,20260910,2.36,1.0174439086203186
20.0,20260910,2.38,1.017959890428341
20.0,20260910,2.4,1.018475872236363
20.0,20260910,2.42,1.018889224960944
20.0,20260910,2.44,1.0190460049769228
20.0,20260910,2.46,1.0192027849929013
20.0,20260910,2.48,1.0193595650088798
20.0,20260910,2.5,1.0192412729136187
20.0,20260910,2.52,1.0188845849886166
20.0,20260910,2.54,1.0185278970636142
20.0,20260910,2.56,1.018171209138612
20.0,20260910,2.58,1.017403465344311
20.0,20260910,2.6,1.0165236154038375
20.0,20260910,2.62,1.015643765463364
20.0,20260910,2.64,1.014751079538628
20.0,20260910,2.66,1.0135118220388004
20.0,20260910,2.68,1.0122725645389727
20.0,20260910,2.7,1.0110333070391448
20.0,20260910,2.72,1.0101481231106966
20.0,20260910,2.74,1.0029294700991824
20.0,20260910,2.7600000000000002,0.9994651824822388
20.0,20260910,2.7800000000000002,1.0014581448100035
20.0,20260910,2.8000000000000003,0.997042671917504
20.0,20260910,2.82,0.9957177917193063
20.0,20260910,2.84,0.9982936217792201
20.0,20260910,2.86,0.9960206676669013
20.0,20260910,2.88,0.9947373987017499
20.0,20260910,2.9,0.9974306016725313
20.0,20260910,2.92,0.997618043251199
20.0,20260910,2.94,0.997731449392336
20.0,20260910,2.96,0.9978891943907416
20.0,20260910,2.98,1.000813051769878
20.0,20260910,3.0,1.0022325680611832
20.0,20270910,0.0,0.0
20.0,20270910,0.02,0.0
20.0,20270910,0.04,0.0
20.0,20270910,0.06,0.0
