,,axis_rmse_deg,axis_rmse_deg,axis_rmse_deg,position_rmse_mm,position_rmse_mm,position_rmse_mm
,,mean,median,std,mean,median,std
method,segment,,,,,,
Event ramp,Apex to end,4.935481372352565,4.735104740511248,1.6348964291695036,26.648895672985375,25.28054304347739,7.614510850494745
Event ramp,Near to end,3.673228333691584,3.3910662429536877,1.6793748617034987,14.491418538607201,13.613742094198525,3.68847761948168
Event ramp,Whole,5.120294570350816,5.210140384487124,1.2296898479781055,30.646741280395265,28.150165563707752,9.587736880929832
Frozen law,Apex to end,5.373704152881832,5.323493027150262,1.4822069432581073,26.711023373565364,25.312776108429908,7.756995702539694
Frozen law,Near to end,3.6560923724283554,3.3830473446844422,1.6700092719328405,14.487135209009873,13.631164463945424,3.692610034005448
Frozen law,Whole,5.5979312755565465,5.723963208868938,1.288796739708838,30.107834196134405,27.789698595216315,9.558427285838725
Identity,Apex to end,4.824694341502844,4.964055687725904,1.378242496746528,27.278883086630994,26.15693803880295,7.598261592966804
Identity,Near to end,3.673228333691584,3.3910662429536877,1.6793748617034987,14.491418538607201,13.613742094198525,3.68847761948168
Identity,Whole,6.62595853928235,6.504547497978413,1.1492922658688873,35.604036444614046,33.02780797967739,9.683202103470807
No adaptation,Apex to end,10.991585388299713,10.818233057307584,2.3757235247456823,30.179956814336403,28.826486398370804,7.793009319753675
No adaptation,Near to end,11.228619281127244,10.551481137896076,2.3000538128735935,19.8355780127207,20.25766277898161,4.414870058495077
No adaptation,Whole,9.63947303429727,9.378467850666183,1.9690976473995179,32.339051030878814,29.78328458956841,9.178922760019436
