dataset,episode_index,session_id,condition_id,successful,task_geometry,intervention_frame,du_m,dv_m,dw_m,roll_rad,pitch_rad,yaw_rad,grasp_frame,alignment_frame,contact_frame,insertion_end_frame,source_of_labels,notes
insert_jc_fix_3,0,,,,,,,,,,,,,,,,,
insert_jc_fix_3,1,,,,,,,,,,,,,,,,,
insert_jc_fix_3,2,,,,,,,,,,,,,,,,,
insert_jc_fix_3,3,,,,,,,,,,,,,,,,,
insert_jc_fix_3,4,,,,,,,,,,,,,,,,,
insert_jc_fix_3,5,,,,,,,,,,,,,,,,,
insert_jc_fix_3,6,,,,,,,,,,,,,,,,,
insert_jc_fix_3,7,,,,,,,,,,,,,,,,,
insert_jc_fix_3,8,,,,,,,,,,,,,,,,,
insert_jc_fix_3,9,,,,,,,,,,,,,,,,,
insert_jc_fix_3,10,,,,,,,,,,,,,,,,,
insert_jc_fix_3,11,,,,,,,,,,,,,,,,,
insert_jc_fix_3,12,,,,,,,,,,,,,,,,,
insert_jc_fix_3,13,,,,,,,,,,,,,,,,,
insert_jc_fix_3,14,,,,,,,,,,,,,,,,,
insert_jc_fix_3,15,,,,,,,,,,,,,,,,,
insert_jc_fix_3,16,,,,,,,,,,,,,,,,,
insert_jc_fix_3,17,,,,,,,,,,,,,,,,,
insert_jc_fix_3,18,,,,,,,,,,,,,,,,,
insert_jc_fix_3,19,,,,,,,,,,,,,,,,,
insert_jc_fix_3,20,,,,,,,,,,,,,,,,,
insert_jc_fix_3,21,,,,,,,,,,,,,,,,,
insert_jc_fix_3,22,,,,,,,,,,,,,,,,,
insert_jc_fix_3,23,,,,,,,,,,,,,,,,,
insert_jc_fix_3,24,,,,,,,,,,,,,,,,,
insert_jc_fix_3,25,,,,,,,,,,,,,,,,,
insert_jc_fix_3,26,,,,,,,,,,,,,,,,,
insert_jc_fix_3,27,,,,,,,,,,,,,,,,,
insert_jc_fix_3,28,,,,,,,,,,,,,,,,,
insert_jc_fix_3,29,,,,,,,,,,,,,,,,,
insert_jc_fix_3,30,,,,,,,,,,,,,,,,,
insert_jc_fix_3,31,,,,,,,,,,,,,,,,,
insert_jc_fix_3,32,,,,,,,,,,,,,,,,,
insert_jc_fix_3,33,,,,,,,,,,,,,,,,,
insert_jc_fix_3,34,,,,,,,,,,,,,,,,,
insert_jc_fix_3,35,,,,,,,,,,,,,,,,,
insert_jc_fix_3,36,,,,,,,,,,,,,,,,,
insert_jc_fix_3,37,,,,,,,,,,,,,,,,,
insert_jc_fix_3,38,,,,,,,,,,,,,,,,,
insert_jc_fix_3,39,,,,,,,,,,,,,,,,,
insert_jc_fix_3,40,,,,,,,,,,,,,,,,,
insert_jc_fix_3,41,,,,,,,,,,,,,,,,,
insert_jc_fix_3,42,,,,,,,,,,,,,,,,,
insert_jc_fix_3,43,,,,,,,,,,,,,,,,,
insert_jc_fix_3,44,,,,,,,,,,,,,,,,,
insert_jc_fix_3,45,,,,,,,,,,,,,,,,,
insert_jc_fix_3,46,,,,,,,,,,,,,,,,,
insert_jc_fix_3,47,,,,,,,,,,,,,,,,,
insert_jc_fix_3,48,,,,,,,,,,,,,,,,,
insert_jc_fix_3,49,,,,,,,,,,,,,,,,,
insert_10degree,0,,,,,,,,,,,,,,,,,
insert_10degree,1,,,,,,,,,,,,,,,,,
insert_10degree,2,,,,,,,,,,,,,,,,,
insert_10degree,3,,,,,,,,,,,,,,,,,
insert_10degree,4,,,,,,,,,,,,,,,,,
insert_10degree,5,,,,,,,,,,,,,,,,,
insert_10degree,6,,,,,,,,,,,,,,,,,
insert_10degree,7,,,,,,,,,,,,,,,,,
insert_10degree,8,,,,,,,,,,,,,,,,,
insert_10degree,9,,,,,,,,,,,,,,,,,
insert_10degree,10,,,,,,,,,,,,,,,,,
insert_10degree,11,,,,,,,,,,,,,,,,,
insert_10degree,12,,,,,,,,,,,,,,,,,
insert_10degree,13,,,,,,,,,,,,,,,,,
insert_10degree,14,,,,,,,,,,,,,,,,,
insert_10degree,15,,,,,,,,,,,,,,,,,
insert_10degree,16,,,,,,,,,,,,,,,,,
insert_10degree,17,,,,,,,,,,,,,,,,,
insert_10degree,18,,,,,,,,,,,,,,,,,
insert_10degree,19,,,,,,,,,,,,,,,,,
insert_10degree,20,,,,,,,,,,,,,,,,,
insert_10degree,21,,,,,,,,,,,,,,,,,
insert_10degree,22,,,,,,,,,,,,,,,,,
insert_10degree,23,,,,,,,,,,,,,,,,,
insert_10degree,24,,,,,,,,,,,,,,,,,
insert_10degree,25,,,,,,,,,,,,,,,,,
insert_10degree,26,,,,,,,,,,,,,,,,,
insert_10degree,27,,,,,,,,,,,,,,,,,
insert_10degree,28,,,,,,,,,,,,,,,,,
insert_10degree,29,,,,,,,,,,,,,,,,,
insert_10degree,30,,,,,,,,,,,,,,,,,
insert_10degree,31,,,,,,,,,,,,,,,,,
insert_10degree,32,,,,,,,,,,,,,,,,,
insert_10degree,33,,,,,,,,,,,,,,,,,
insert_10degree,34,,,,,,,,,,,,,,,,,
insert_10degree,35,,,,,,,,,,,,,,,,,
insert_10degree,36,,,,,,,,,,,,,,,,,
insert_10degree,37,,,,,,,,,,,,,,,,,
insert_10degree,38,,,,,,,,,,,,,,,,,
insert_10degree,39,,,,,,,,,,,,,,,,,
insert_10degree,40,,,,,,,,,,,,,,,,,
