target_episode,nominal_episode,split,position_error_mm,orientation_error_deg,axis_error_deg,delta_00,delta_01,delta_02,delta_03,delta_10,delta_11,delta_12,delta_13,delta_20,delta_21,delta_22,delta_23,delta_30,delta_31,delta_32,delta_33
0,40,Calibration,11.196302511300239,7.648773426375824,7.4079348758089365,0.9973661104345211,-0.07236131592506229,0.0049680694749516495,0.00755312415563969,0.07214801639780778,0.9827251454145995,-0.1704287308516831,-0.017751434537230243,0.007450200438664352,0.17033827675377936,0.9853574813162868,-0.02705579840558628,0.0,0.0,0.0,1.0
1,40,Evaluation,9.511708047167513,7.6374384467044,5.558919313189559,0.9796441211344261,-0.1984551551088329,0.030215018409511133,0.027180272175048703,0.2007419909802318,0.9686488689374234,-0.14636263786753367,-0.0889071680905221,-0.00022132340715702928,0.14944872069368595,0.9887694528548958,-0.020795467694696534,0.0,0.0,0.0,1.0
2,21,Evaluation,8.046954462503708,5.497951679342815,5.0126580432421814,0.9872846802577815,-0.1435837947269043,0.06821036592858855,0.01865940439772823,0.1544089467190505,0.9681941832208478,-0.1968702637536408,-0.053521610939537154,-0.03777349998879067,0.20489928616063277,0.9780539071183445,0.0048427902343531615,0.0,0.0,0.0,1.0
3,45,Evaluation,11.457036772094645,8.711986301339476,4.022569247978289,0.9687688473969046,-0.23972961959582423,0.06337688696766877,0.03162714171271763,0.24705166461058337,0.9550635758243021,-0.16376520126948804,-0.11871708239724214,-0.021269586888586392,0.17430799070076358,0.9844614411196864,-0.010982695000803677,0.0,0.0,0.0,1.0
4,45,Evaluation,16.950712557054935,4.143625710047926,4.124375352155977,0.9914879438197857,-0.11730756519781733,0.05648532913395905,0.003978557088738177,0.12361648661256695,0.9843552434107402,-0.12555364991646287,-0.062072257500264516,-0.04087323693539466,0.13146744812743758,0.990477505340369,-0.003792541506248054,0.0,0.0,0.0,1.0
5,21,Calibration,6.126306724092658,4.183565003382637,4.1805441018073335,0.9914885518816576,-0.10887661184618071,0.0713886187043041,0.015547484237820042,0.12013402740626988,0.976428603477184,-0.1793181467970946,-0.04840509474101545,-0.05018233699980512,0.18636809196987253,0.9811975679488539,0.009199448785727427,0.0,0.0,0.0,1.0
6,6,Evaluation,15.257118610690496,5.123226945171029,4.8110465655582715,0.987634220226705,-0.07008903195373403,0.14023613884080188,0.004066737540736831,0.09948194082405987,0.9715213796914505,-0.21505709068128565,-0.040021623807958706,-0.12116926378857991,0.22634870532479065,0.9664803531943754,0.05315742788875549,0.0,0.0,0.0,1.0
7,40,Evaluation,2.395511321786786,7.544143357517753,0.45651161956478004,0.9911264908295413,0.020763017191171365,0.13129042727113877,-0.011610000265355525,-0.0025385064120466987,0.9905012834060954,-0.13748004784721843,0.008803619593780787,-0.1328978373078925,0.1359268357904229,0.9817647682367135,0.055740850490828,0.0,0.0,0.0,1.0
8,21,Evaluation,4.97134257313389,3.067655210959241,2.1673106725289584,0.9929996399142997,-0.07395656675759184,0.09209854159267689,0.003418759811773975,0.08499412903752146,0.9888415735205467,-0.12234516952687377,-0.04222192082782798,-0.08202263808986712,0.12931654461373532,0.9882052004163607,0.033160302466824707,0.0,0.0,0.0,1.0
9,6,Evaluation,9.251234173683034,4.8089950077681785,4.781560378188246,0.9861618872234106,-0.09174523002006518,0.13808528146231586,0.007407646139929169,0.12020606725802686,0.9693086068946355,-0.21445588356195844,-0.0465060127619443,-0.1141719474403428,0.2280869074904276,0.9669235383675033,0.043279409865211005,0.0,0.0,0.0,1.0
10,40,Calibration,10.371963283460982,4.591121112183216,2.6348637685335254,0.9950798901940978,-0.0473420543148331,0.08703299388480457,-0.004876451649120317,0.057119892349262756,0.9918914898169946,-0.1135279275184317,-0.020323627702799718,-0.08095264065680421,0.11794067289053867,0.9897154478176119,0.023410796112221202,0.0,0.0,0.0,1.0
11,45,Evaluation,10.571269065594556,12.000626021665791,0.6526975274090379,0.9430476171759485,-0.31281117079571963,0.11318287487149135,0.046357043199401204,0.32631497950305777,0.9360004145000864,-0.13199150808890747,-0.1596964350202562,-0.06465079961364353,0.1614075446844921,0.9847679313565398,0.012401380128188949,0.0,0.0,0.0,1.0
12,45,Evaluation,9.325129124058687,13.10983250949638,2.2799235468947185,0.9332729112836996,-0.3318472250152269,0.13740120928776084,0.052203256322363445,0.3457099636009662,0.9337112752473457,-0.0931014261061138,-0.1774547120838249,-0.09739760844632865,0.13439000604831774,0.9861303322296027,0.03441428564025387,0.0,0.0,0.0,1.0
13,40,Evaluation,4.119027365219585,2.0220242786300786,1.1279750894506844,0.990437784504304,-0.08236906356549836,0.11067218437144327,-0.0005147046548763523,0.09599136253522013,0.9876281702999257,-0.124001030433827,-0.04224338111204476,-0.09908911819587343,0.1334388796316945,0.9860909755483012,0.03684609389364869,0.0,0.0,0.0,1.0
14,6,Evaluation,6.26834821758484,2.825793531548777,0.8677922427140506,0.98089209331012,-0.1571945143290613,0.11463239483907675,0.0198416123835623,0.17111295055195505,0.9774382005060089,-0.12383425352050172,-0.08103551707183741,-0.0925800163917443,0.1410831274689721,0.9856594197330427,0.039628539962310416,0.0,0.0,0.0,1.0
15,45,Calibration,7.560014924682507,9.436532618448627,2.090899349424018,0.954687681215283,-0.27058643763607027,0.12391291741866645,0.03533853298586137,0.28284603184402274,0.9544522926194425,-0.09496811772157049,-0.14563149800922356,-0.09257188345212723,0.1257131690830722,0.9877381462276399,0.03776005561718186,0.0,0.0,0.0,1.0
16,33,Evaluation,9.334101875770056,7.249371872754329,5.19610725761172,0.984644088361592,-0.03223933486668758,0.1715711063726157,-0.002597046272544201,0.042385877474304626,0.9975414658419477,-0.055807358982771595,-0.022052300201496608,-0.16935010081279275,0.0622225780022998,0.9835897997343429,0.08974262043004155,0.0,0.0,0.0,1.0
17,40,Evaluation,8.478935445672672,5.508844976440134,0.9617099944936623,0.9924356819285602,-0.018805648854009156,0.1213167952353407,-0.007184691925940401,0.03301181015989947,0.9926798778828195,-0.1161760751468092,-0.00573084944677385,-0.11824397500490513,0.11930216937562368,0.9857917400532981,0.045726712406762154,0.0,0.0,0.0,1.0
18,21,Evaluation,5.742347102424136,3.5439685332619932,3.439969934911651,0.989628809374535,-0.12244430138808673,0.07511466377160855,0.0163361166997672,0.1332656660537556,0.9777657895805687,-0.16190837834137448,-0.05402859345483374,-0.05361979025683822,0.17023940138366364,0.9839428155687415,0.016002106492190193,0.0,0.0,0.0,1.0
19,40,Evaluation,9.401463615610501,7.968138598487976,3.5259760381621175,0.997529967368605,0.013770923356523824,0.0688790670051482,-0.004707403005408395,-0.004927972715618527,0.9918980756316882,-0.1269406264482303,0.013690257067479783,-0.0700691036513603,0.1262876447957747,0.9895159177524292,0.0169280637396598,0.0,0.0,0.0,1.0
20,0,Calibration,4.989269220496678,4.642632701339089,4.316581828999011,0.9796481358316974,-0.1296177559708296,0.15326045575610006,0.004241500851197011,0.1594513360451166,0.966325753392994,-0.20196487259642582,-0.06631573017366633,-0.12192129180298378,0.22229209537576836,0.9673269472823255,0.04301365497508765,0.0,0.0,0.0,1.0
21,0,Evaluation,7.554150150930262,2.601705054353269,2.3753049566563016,0.9776080705275536,-0.1304161933274708,0.16514865109156823,0.008176627615900656,0.15056260777831665,0.9817751735577216,-0.11596727868109001,-0.07835494944047042,-0.14701483455211437,0.13823575913516947,0.9794271352775237,0.06811749452472078,0.0,0.0,0.0,1.0
22,0,Evaluation,4.589307549115202,2.356494159969018,2.1895302287312877,0.9888713252544243,-0.0906303642199246,0.11798152046368954,0.006033323032561877,0.11000454973508955,0.9793349169992828,-0.16971187166368096,-0.04276818886962319,-0.10016237380943202,0.1808017074791423,0.9784059696493514,0.038947119834162325,0.0,0.0,0.0,1.0
23,40,Evaluation,11.34574270623353,2.7955323063280098,2.645776749114921,0.9879029371514403,-0.12833299951006574,0.0870541670703201,0.014641550605011822,0.13773583170313267,0.984076971636838,-0.11234480210101645,-0.05715591744037346,-0.0712504556659398,0.12297623807394542,0.9898485830856033,0.019231481937111272,0.0,0.0,0.0,1.0
24,0,Evaluation,4.139228425438374,6.749352871381079,4.136748992743168,0.9642321875702433,-0.19336881844404447,0.1812864818651848,0.02065495995866573,0.22543470065655793,0.9580098546880542,-0.1771900506813518,-0.10163125777817598,-0.13941120540828106,0.21172061395652073,0.9673359796019596,0.05684980222693012,0.0,0.0,0.0,1.0
25,21,Calibration,10.266229899981509,7.690782929636717,2.0777678740682086,0.9596208728571246,-0.23284196186995607,0.15783662809841842,0.03742582675336886,0.2564139718171734,0.9547869872588832,-0.15044495344824776,-0.11880731248120566,-0.11567046050686558,0.1848416342539027,0.9759374543547729,0.047692786925192465,0.0,0.0,0.0,1.0
26,15,Evaluation,14.642221045466044,4.610508526392275,4.482106932423927,0.9752247139890885,-0.12195717812785437,0.18456219528384252,0.014544721709336184,0.15600937814877422,0.9706660855258137,-0.18294377371101309,-0.060946902949497325,-0.1568369572343623,0.20720472270941223,0.9656440191563255,0.07373472962102831,0.0,0.0,0.0,1.0
27,21,Evaluation,9.737918748877416,7.619469398786137,3.6703434600360154,0.9644208822129356,-0.21560540957900456,0.1529923831825964,0.03238172350863183,0.24276893416706166,0.9513710196363397,-0.18962180148785066,-0.10345910394244716,-0.10466903341012374,0.22001702287863698,0.9698643735536477,0.0405224601524152,0.0,0.0,0.0,1.0
28,33,Evaluation,6.660532154009774,2.1965116147913246,2.1964897197360056,0.983760870250578,-0.11357309398577117,0.13898094288902585,0.010553722467566806,0.12759576482357118,0.9871192813095129,-0.09651344603772602,-0.06419179790253003,-0.12622943778260043,0.11267953136878198,0.9855807690126662,0.05953595744227827,0.0,0.0,0.0,1.0
29,10,Evaluation,12.476135514050517,7.877125009123527,6.467326167781444,0.9834473336789709,-0.17897377934374437,0.028279465821332034,0.017325508389233524,0.18104854905369364,0.9643580165676974,-0.19296382761328265,-0.08089676376725893,0.00726393593553025,0.19488971801773708,0.9807982631742836,-0.024087484248658864,0.0,0.0,0.0,1.0
30,21,Calibration,6.793719469555209,6.289021907904407,2.2563565792859994,0.9667435383544593,-0.21480495670407448,0.1388011585875959,0.03065067017448947,0.22889881352479655,0.9688064448988036,-0.09497055064323881,-0.11622708329340384,-0.1140713119800009,0.12358358668488398,0.9857559702508827,0.047889794451344544,0.0,0.0,0.0,1.0
31,0,Evaluation,11.009660289191206,5.452542633219871,5.4343640599792,0.9744075998680406,-0.10728866872382573,0.19753220214150985,0.0020257791656885793,0.14600869131544525,0.9702192732675692,-0.1932770649624554,-0.06623712522883544,-0.17091311061400807,0.2171720593069453,0.9610541115237085,0.07670674428758045,0.0,0.0,0.0,1.0
32,6,Evaluation,13.271312726172319,5.291634474933274,1.1607429745568714,0.9695988750155922,-0.19740614949640298,0.14459887174352737,0.027652263571601443,0.21744461088676934,0.9661050015399627,-0.13913650561865315,-0.11198244696823496,-0.11223129137989445,0.166348844722384,0.9796592260039858,0.046576932695239964,0.0,0.0,0.0,1.0
