sample_index,solver_phase,phase,phase_progress,source_progress,alpha_pitch_mean,alpha_pitch_sd_across_seeds,alpha_pitch_seed_20260910,alpha_pitch_seed_20270910,alpha_pitch_seed_20280910
0,3,align,0.0,0.0,0.002296692687514164,0.0004148956591888784,0.002001990544191914,0.0021169330851600133,0.0027711544331905646
1,3,align,0.041666666666666664,0.010416666666666666,0.007318243082595923,0.0007146187803988361,0.006793174460506385,0.0070294995980861585,0.008132055189195225
2,3,align,0.08333333333333333,0.020833333333333332,0.019715250528813958,0.00086426918060702,0.01900373664242334,0.019464977597620125,0.02067703734639841
3,3,align,0.125,0.03125,0.044789235261276206,0.0006785009345341547,0.04403732014462899,0.0449745852090965,0.04535580043010311
4,3,align,0.16666666666666666,0.041666666666666664,0.08657428360673634,0.0009891784735536543,0.08584021894300302,0.08769916543199566,0.08618346644521035
5,3,align,0.20833333333333331,0.05208333333333333,0.14532106536891146,0.0020484870051138753,0.1444496907670976,0.14766117613575386,0.14385232920388288
6,3,align,0.25,0.0625,0.218021651376647,0.003074581671237246,0.2168562692907629,0.22150855761453128,0.21570012722464682
7,3,align,0.29166666666666663,0.07291666666666666,0.30151583939107973,0.0040242921854389425,0.30021632041818064,0.3060293231719234,0.2983018745831351
8,3,align,0.3333333333333333,0.08333333333333333,0.3946303665612141,0.0053244391453706645,0.3936782043975071,0.40036664655786725,0.389846248728268
9,3,align,0.375,0.09375,0.4973742779201044,0.007440334111376043,0.49721229013017126,0.5048942832854103,0.4900162603447316
10,3,align,0.41666666666666663,0.10416666666666666,0.6081412023743877,0.01016023905882064,0.608749305397232,0.6179837323448042,0.597690569381127
11,3,align,0.4583333333333333,0.11458333333333333,0.7213272426919063,0.01250322613094744,0.7221279917566698,0.7334108484696287,0.7084428878494204
12,3,align,0.5,0.125,0.827812490130012,0.013475275542395505,0.8280640893876356,0.8411602043080606,0.81421317669434
13,3,align,0.5416666666666666,0.13541666666666666,0.9186259966439737,0.01283435958018154,0.917957151589196,0.9317817011101127,0.9061391372326123
14,3,align,0.5833333333333333,0.14583333333333331,0.9887723862790262,0.011123493515085413,0.9873540444235713,1.0005370236268532,0.9784260907866543
15,3,align,0.625,0.15625,1.0380688037007741,0.009096416106148501,1.0363870460890983,1.0478887445109575,1.0299306205022671
16,3,align,0.6666666666666666,0.16666666666666666,1.0692802523216003,0.0072641821763731965,1.0678487590879997,1.0771536146750238,1.0628383832017776
17,3,align,0.7083333333333333,0.17708333333333331,1.0858672205875788,0.005856844200996543,1.0850880557016995,1.0920746463212239,1.080438959739813
18,3,align,0.75,0.1875,1.0907475604253707,0.004976189213026983,1.090888418546994,1.0956518251567462,1.0857024375723718
19,3,align,0.7916666666666666,0.19791666666666666,1.0861182572318666,0.004667875357219837,1.087305875100958,1.0900776046968201,1.0809712918978216
20,3,align,0.8333333333333333,0.20833333333333331,1.0739131195969436,0.004817766444429299,1.076091828425777,1.0772566868367455,1.068390843528308
21,3,align,0.875,0.21875,1.0564691955383274,0.005097517760762053,1.0593510714779943,1.0594730051004195,1.050583510036568
22,3,align,0.9166666666666666,0.22916666666666666,1.0369487987989958,0.0051325481178868685,1.0400391150015362,1.0397831965551914,1.03102408484026
23,3,align,0.9583333333333333,0.23958333333333331,1.0190861762784291,0.004704553901155288,1.0218423179379177,1.0217621885476729,1.013654022349697
24,3,align,1.0,0.25,1.0062035967782201,0.003846626614720737,1.008262761551752,1.008582300858238,1.0017657279246703
25,4,enter,0.0,0.25,1.0062035967782201,0.003846626614720737,1.008262761551752,1.008582300858238,1.0017657279246703
26,4,enter,0.041666666666666664,0.2604166666666667,1.0000500384430475,0.00279503246685679,1.0013677271942305,1.0019426600690007,0.9968397280659115
