episode,generator,steps,states,success,max_contact_force_N,contact_frames,final_dist_m,final_yaw_err_rad,socket_drift_m,solver_error,dx,dy,dyaw
episode_0,yaw,290,291,True,46.68729729578187,18,0.0018503650790080428,0.0,7.45058059692383e-09,,0.0,0.0,-0.5235987755982988
episode_1,yaw,284,285,True,43.88402721414534,19,0.0040746727026999,0.0,1.862645149230958e-09,,0.0,0.0,-0.2617993877991494
episode_2,yaw,261,262,True,75.66896127034545,17,0.0063345893286168575,0.0,5.587935447692872e-09,,0.0,0.0,0.0
episode_3,yaw,282,283,True,30.18506766162159,20,0.0012179662007838488,0.0,5.587935447692872e-09,,0.0,0.0,0.2617993877991494
episode_4,yaw,271,272,True,55.87381955688354,18,0.006081275176256895,0.0,7.450580596923828e-09,,0.0,0.0,0.5235987755982988
episode_5,translation,266,267,True,57.17924577218397,17,0.007896710187196732,0.0,5.587935447692872e-09,,-0.015,0.0,0.0
episode_6,translation,269,270,True,59.19286261062058,17,0.007262314669787884,0.0,5.587935447692872e-09,,0.015,0.0,0.0
episode_7,translation,269,270,True,53.025982233156526,19,0.005668461788445711,0.0,5.587935447692871e-09,,0.0,-0.015,0.0
episode_8,translation,281,282,True,47.964814726473485,19,0.007725762203335762,0.0,5.587935447692871e-09,,0.0,0.015,0.0
episode_9,translation,269,270,True,50.48267073931296,19,0.0067347073927521706,0.0,5.587935447692872e-09,,0.0,0.0,0.0
episode_10,mixed,273,274,True,52.746993050779764,18,0.005379904992878437,0.0,1.862645149230957e-09,,0.0032870804957149027,-0.0055251188696671125,-0.48069140166842056
episode_11,mixed,242,243,False,5.693594473381226,1,0.39336031675338745,0.0,1.862645149230957e-09,,-0.011603336747315302,0.0075184857408065395,0.4322366297679682
episode_12,mixed,398,399,True,3.1478283029060155,4,0.0012229634448885918,0.0,5.587935447692871e-09,,0.002559258618412316,0.005507917463615963,0.045683984233563346
episode_13,mixed,280,281,True,49.76212390726921,19,0.006578513886779547,0.0,5.587935447692871e-09,,0.010441738170906437,0.007580485298916771,-0.5207310249261683
episode_14,mixed,511,512,False,75.04333290460833,18,0.0450427420437336,0.0,3.725290298461914e-09,,0.008577702638101665,-0.011193946192668856,0.24049462112039888
episode_15,mixed,275,276,True,56.47474271323689,11,0.0014678805600851774,0.0,3.725290298461914e-09,,-0.007784265105538584,0.008716294136397278,0.04341808831447158
episode_16,mixed,334,335,False,0.0,0,1.142403244972229,0.0,5.587935447692871e-09,,-0.004806914627102765,-0.001855506691256198,-0.49394248532407703
episode_17,mixed,175,176,False,0.0,0,0.5597013831138611,0.0,3.725290298461914e-09,RuntimeError('motion planning failed'),-0.009017201364010467,0.004094985952647127,0.154136496082378
episode_18,mixed,290,291,True,44.63512625314252,19,0.0037924963980913162,0.0,5.587935447692871e-09,,0.002769242675550093,-0.0027917386977147976,0.5206770271890794
episode_19,mixed,281,282,True,5.005958840397734,13,0.0015964967897161841,0.0,5.587935447692871e-09,,0.011540048130629522,0.004453007627536674,0.15756058566246955
episode_20,mixed,304,305,False,65.83965470894762,18,0.027983907610177994,0.0,1.862645149230957e-09,,0.004522721533702562,-0.0026658858245015085,-0.3821260463636109
episode_21,mixed,407,408,True,11.304148500826225,5,0.0007026446983218193,0.0,3.725290298461914e-09,,0.00531572016465796,0.0006085037394174212,-0.19871424323432085
episode_22,mixed,632,633,False,0.0,0,1.7524511814117432,0.0,7.450580596923828e-09,,-0.00033995138803706235,0.009347708024376008,0.454529307022146
episode_23,mixed,291,292,True,27.029313654369414,19,0.0018534305272623897,0.0,5.587935447692871e-09,,-0.0034129152789823154,0.001716715937514263,-0.18653793745843217
episode_24,mixed,276,277,True,43.18669652325495,19,0.006103707943111658,0.0,7.450580596923828e-09,,0.0022632007247927223,-0.0038901305878288016,-0.11349631724314929
episode_25,mixed,273,274,True,40.738538313888895,18,0.0040752277709543705,0.0,5.587935447692871e-09,,0.009366584448115015,-0.006548217755198887,0.1290012762541246
episode_26,mixed,299,300,True,26.46872827658055,19,0.0011571204522624612,0.0,1.862645149230957e-09,,-0.009983631754022764,0.007983459543681546,0.3006486445548371
episode_27,mixed,290,291,True,47.56314001345238,19,0.0016214738134294748,0.0,5.587935447692871e-09,,-0.006255133368169148,0.009035621539456893,-0.4622664729719022
episode_28,mixed,414,415,True,2.7662082924981335,6,0.0007187752635218203,0.0,7.450580596923828e-09,,-0.003933190546904152,-0.008393292794523863,-0.05200449363573878
episode_29,mixed,673,674,False,0.0,0,0.2128978669643402,0.0,1.862645149230957e-09,,0.007111782486895063,-0.006464586984150061,-0.4691221965135881
